place,title,time,pay,date
광주 광산구,씨제이올리브영 광주하남2지구점,09:30~16:00,"시급 9,160원",9분전
부산 전체,씨제이올리브영(주),16:00~22:00,"시급 9,160원",15분전
서울 서초구,씨제이올리브영(주) 강남엔터식스점,16:00~22:00,"시급 9,160원",20분전
서울 서초구,씨제이올리브영(주) 강남엔터식스점,10:00~16:30,"시급 9,160원",21분전
세종 전체,씨제이올리브영(주),16:30~22:00,"시급 9,160원",21분전
부산 수영구,씨제이올리브영(주) 올리브영 광안리점,17:00~23:00,"시급 9,160원",22분전
충북 청주시,올리브영 청주터미널중앙점,14:00~21:30,"시급 9,160원",23분전
세종 전체,올리브영 세종소담점,13:30~16:30,"시급 9,160원",24분전
전남 여수시,씨제이올리브영(주) 여수웅천마리나점,12:30~18:00,"시급 9,160원",27분전
경기 평택시,씨제이올리브영(주),09:30~17:00,"시급 9,160원",29분전
경기 수원시,CJ올리브영 수원호매실점,15:00~21:30,"시급 9,160원",31분전
경기 파주시,올리브영 파주가람점,10:00~15:30,"시급 9,160원",41분전
서울 용산구,씨제이올리브영(주),09:30~16:00,"시급 9,160원",42분전
서울 전체,씨제이올리브영(주),15:00~22:30,"시급 9,160원",42분전
대구 달성군,씨제이올리브영(주) 대구테크노폴리스점,16:00~22:00,"시급 9,160원",52분전
부산 전체,씨제이올리브영(주),13:00~16:00,"시급 9,160원",53분전
서울 강남구,올리브영 선릉아이타워점,17:00~22:00,"시급 9,160원",54분전
서울 영등포,올리브영 여의도역점,18:00~22:30,"시급 9,160원",1시간전
울산 남구,씨제이올리브영(주),16:30~21:30,"시급 9,160원",1시간전
경기 수원시,올리브영 수원 타운,15:00~23:00,"시급 9,160원",1시간전
대전 유성구,씨제이올리브영(주) 대전유성온천역점,17:00~22:00,"시급 9,160원",1시간전
서울 전체,씨제이올리브영(주),09:30~16:00,"시급 9,160원",1시간전
서울 전체,씨제이올리브영(주),15:00~22:30,"시급 9,160원",1시간전
경남 김해시,씨제이올리브영(주) 김해진영대로점,10:00~17:00,"시급 9,160원",1시간전
충북 진천군,씨제이올리브영 충북혁신도시점,시간협의,"시급 9,160원",2시간전
서울 강남구,씨제이올리브영(주),15:00~22:00,"시급 9,160원",2시간전
경기 하남시,씨제이올리브영(주) 스타필드시티위례점,14:00~22:00,"시급 9,160원",2시간전
경기 수원시,올리브영 수원 타운,시간협의,"시급 9,160원",2시간전
서울 관악구,올리브영 관악 타운,15:00~23:00,"시급 9,160원",2시간전
서울 강남구,올리브영 선릉아이타워점,17:00~22:00,"시급 9,160원",2시간전
경북 구미시,올리브영 구미형곡점,13:00~19:00,"시급 9,160원",2시간전
서울 노원구,올리브영 수락산역점,09:30~15:30,"시급 9,160원",2시간전
서울 강남구,씨제이올리브영(주),16:00~22:30,"시급 9,160원",2시간전
서울 중구,올리브영 명동 플래그십,시간협의,"시급 9,160원",2시간전
대전 전체,씨제이올리브영(주) 대전전민점,16:30~22:00,"시급 9,160원",2시간전
서울 강남구,씨제이올리브영(주),14:30~22:30,"시급 9,160원",2시간전
대전 유성구,씨제이올리브영(주) 대전전민점,16:30~22:00,"시급 9,160원",2시간전
울산 남구,올리브영 울산대로점,09:30~16:30,"시급 9,160원",2시간전
서울 전체,씨제이올리브영(주),09:30~16:00,"시급 9,160원",2시간전
서울 전체,씨제이올리브영(주),10:30~18:30,"시급 9,160원",2시간전
서울 동대문,올리브영 답십리역점,09:30~16:00,"시급 9,160원",2시간전
서울 용산구,씨제이올리브영(주),09:30~16:00,"시급 9,160원",2시간전
서울 강남구,씨제이올리브영(주),15:00~22:00,"시급 9,160원",2시간전
서울 중구,올리브영 명동 플래그십,시간협의,"시급 9,160원",2시간전
서울 중구,올리브영 명동 플래그십,시간협의,"시급 9,160원",2시간전
경기 화성시,CJ올리브영 송산그린시티점,16:00~22:00,"시급 9,160원",3시간전
부산 전체,씨제이올리브영(주),13:00~19:30,"시급 9,160원",3시간전
서울 서대문,씨제이올리브영(주),16:30~23:00,"시급 9,160원",3시간전
서울 종로구,올리브영 안국점,15:00~22:00,"시급 9,160원",3시간전
충남 천안시,올리브영 천안두정중앙점,17:00~23:00,"시급 9,160원",3시간전
경기 고양시,CJ올리브영 고양향동점,15:30~22:30,"시급 9,160원",3시간전
서울 서초구,씨제이올리브영(주) 강남엔터식스점,16:00~22:00,"시급 9,160원",3시간전
서울 서초구,씨제이올리브영(주) 강남엔터식스점,10:00~16:30,"시급 9,160원",3시간전
서울 강남구,씨제이올리브영(주),15:00~22:00,"시급 9,160원",3시간전
