place,title,time,pay,date
서울 중랑구,웅진씽크빅 면목지국,14:00~20:00,"월급 1,800,000원",1분전
경기 수원시,웅진씽크빅 권선지국,시간협의,"월급 2,000,000원",1분전
대전 유성구,웅진씽크빅 북대전지국,13:00~19:00,"월급 1,700,000원",1분전
경기 고양시,웅진씽크빅 행신지국,13:00~20:00,"월급 2,500,000원",2분전
경기 고양시,웅진씽크빅 행신지국,13:00~20:00,"월급 2,500,000원",2분전
경기 김포시,웅진씽크빅 김포지국,13:00~19:00,"월급 2,000,000원",3분전
경기 김포시,웅진씽크빅 김포지국,15:00~20:30,"월급 3,000,000원",9분전
부산 전체,웅진씽크빅 부산동래지국,14:00~21:00,"월급 1,500,000원",14분전
부산 전체,웅진씽크빅 부산동래지국,14:00~21:00,"월급 1,500,000원",14분전
부산 전체,웅진씽크빅 부산동래지국,14:00~21:00,"월급 1,500,000원",14분전
전북 전체,웅진씽크빅 아중지국,시간협의,"월급 1,822,480원",15분전
전북 전체,웅진씽크빅 아중지국,시간협의,"월급 1,822,480원",16분전
전북 전체,웅진씽크빅 아중지국,시간협의,"월급 1,822,480원",16분전
인천 서구,웅진씽크빅 인천가정지국,13:00~18:00,"월급 1,200,000원",17분전
서울 구로구,웅진씽크빅 신도림지국,시간협의,"월급 2,000,000원",17분전
인천 서구,웅진씽크빅 인천가정지국,15:00~20:00,"월급 2,000,000원",18분전
인천 서구,웅진씽크빅 인천가정지국,13:00~19:00,"월급 2,500,000원",18분전
서울 구로구,웅진씽크빅 신도림지국,시간협의,"월급 2,000,000원",19분전
서울 구로구,웅진씽크빅 신도림지국,시간협의,"월급 2,000,000원",19분전
경남 사천시,웅진씽크빅 사천지국,15:00~21:00,"월급 1,800,000원",24분전
경남 사천시,웅진씽크빅 사천지국,15:00~21:00,"월급 1,800,000원",24분전
경남 사천시,웅진씽크빅 사천지국,15:00~21:00,"월급 1,800,000원",25분전
전북 전주시,웅진씽크빅 송천동부지국,13:00~21:00,"월급 2,000,000원",27분전
전북 전주시,웅진씽크빅 송천동부지국,13:00~21:00,"월급 2,000,000원",28분전
전북 전주시,웅진씽크빅 송천동부지국,13:00~21:00,"월급 2,000,000원",28분전
경기 수원시,웅진씽크빅 서수원지국,시간협의,"월급 2,000,000원",32분전
경기 수원시,웅진씽크빅 서수원지국,시간협의,"월급 2,000,000원",32분전
경기 화성시,웅진씽크빅 남양지국,14:00~21:00,"월급 2,000,000원",32분전
경기 수원시,웅진씽크빅 서수원지국,시간협의,"월급 2,000,000원",33분전
경기 화성시,웅진씽크빅 남양지국,14:00~21:00,"월급 2,000,000원",33분전
경기 화성시,웅진씽크빅 남양지국,14:00~21:00,"월급 2,000,000원",33분전
대구 달서구,웅진씽크빅 대구장기지국,시간협의,"월급 2,000,000원",34분전
경기 용인시,웅진씽크빅 신분당지국,시간협의,"월급 2,000,000원",34분전
경기 고양시,웅진씽크빅 일산서부지국,13:00~18:00,"월급 1,800,000원",35분전
경기 용인시,웅진씽크빅 신분당지국,시간협의,"월급 2,000,000원",35분전
대구 달서구,웅진씽크빅 대구장기지국,시간협의,"월급 2,000,000원",35분전
경기 고양시,웅진씽크빅 일산서부지국,13:00~18:00,"월급 1,800,000원",35분전
경기 하남시,웅진씽크빅 하남지국,13:00~18:00,"월급 2,000,000원",35분전
경기 용인시,웅진씽크빅 신분당지국,시간협의,"월급 2,000,000원",35분전
경기 하남시,웅진씽크빅 하남지국,13:00~18:00,"월급 2,000,000원",35분전
경기 고양시,웅진씽크빅 일산서부지국,13:00~18:00,"월급 2,000,000원",35분전
경기 하남시,웅진씽크빅 하남지국,13:00~18:00,"월급 2,000,000원",36분전
인천 서구,웅진씽크빅 인천청라,시간협의,"월급 2,000,000원",36분전
대구 달서구,웅진씽크빅 대구장기지국,시간협의,"월급 2,000,000원",36분전
경기 화성시,웅진씽크빅 동탄남부지국,시간협의,"연봉 21,600,000원",38분전
경기 화성시,웅진씽크빅 동탄남부지국,시간협의,"연봉 21,600,000원",39분전
경기 화성시,웅진씽크빅 동탄남부지국,시간협의,"연봉 21,600,000원",40분전
울산 북구,웅진씽크빅 울산북부지국,시간협의,"월급 1,900,000원",40분전
경기 안산시,웅진씽크빅 안산동부지국,13:00~21:00,"월급 1,800,000원",40분전
울산 북구,웅진씽크빅 울산북부지국,시간협의,"월급 1,900,000원",41분전
광주 광산구,웅진씽크빅 광주수완지국,13:00~18:30,"월급 1,500,000원",41분전
울산 북구,웅진씽크빅 울산북부지국,시간협의,"월급 1,900,000원",42분전
광주 광산구,웅진씽크빅 광주수완지국,13:00~18:30,"월급 1,500,000원",42분전
광주 광산구,웅진씽크빅 광주수완지국,15:00~20:00,"월급 1,800,000원",43분전
부산 부산진,웅진씽크빅 부산진,14:00~20:00,"월급 1,500,000원",44분전
부산 부산진,웅진씽크빅 부산진,14:00~20:00,"월급 1,500,000원",44분전
부산 부산진,웅진씽크빅 부산진,14:00~20:00,"월급 1,500,000원",45분전
부산 강서구,웅진씽크빅 명지지국,시간협의,"월급 1,800,000원",48분전
부산 수영구,웅진씽크빅 부산수영지국,14:00~18:00,"월급 2,000,000원",48분전
대구 북구,웅진씽크빅 동천지국,13:00~19:00,"월급 1,800,000원",48분전
부산 강서구,웅진씽크빅 명지지국,시간협의,"월급 1,822,480원",48분전
부산 사하구,웅진씽크빅 명지지국,시간협의,"월급 1,822,480원",48분전
서울 금천구,웅진씽크빅 금천지국,시간협의,"월급 1,800,000원",49분전
서울 금천구,웅진씽크빅 금천지국,13:00~18:00,"월급 1,800,000원",49분전
서울 구로구,웅진씽크빅 금천지국,시간협의,"월급 1,800,000원",50분전
전북 전체,웅진씽크빅 정읍지국,14:00~20:00,"월급 2,000,000원",54분전
전북 전체,웅진씽크빅 정읍지국,14:00~20:00,"월급 2,000,000원",54분전
경기 평택시,웅진씽크빅 평택지국,시간협의,"월급 2,000,000원",54분전
