14:06:41
2022-01-18
19건
index,place,title,time,pay,date
1,인천 미추홀,원조부안집 도화점,17:00~21:30,"시급 9,160원",3시간전
2,경기 성남시,원조부안집 판교점,17:00~23:00,"시급 12,000원",3시간전
3,경기 성남시,원조부안집 판교점,17:00~23:00,"시급 12,000원",3시간전
4,경기 성남시,원조부안집 판교점,17:00~23:00,"시급 12,000원",3시간전
5,경기 성남시,원조부안집 판교점,17:00~23:00,"시급 12,000원",3시간전
6,경기 성남시,원조부안집 판교점,17:00~23:00,"시급 12,000원",3시간전
7,인천 미추홀,원조부안집 도화점,17:00~21:30,"시급 9,160원",7시간전
8,인천 미추홀,원조부안집 도화점,17:00~21:30,"시급 9,160원",19시간전
9,인천 미추홀,원조부안집 도화점,17:00~21:30,"시급 9,160원",01/16
10,전북 전주시,원조부안집 전주서신점,16:00~22:00,"시급 10,000원",01/15
11,인천 미추홀,원조부안집 도화점,17:00~21:30,"시급 9,160원",01/15
12,경북 구미시,원조부안집 구미문성점,17:00~23:00,"월급 1,500,000원",01/13
13,경남 진주시,원조부안집 진주역점,시간협의,"시급 10,000원",01/10
14,경남 진주시,원조부안집 진주역점,시간협의,"시급 10,000원",01/10
15,서울 성동구,원조부안집 왕십리역점,시간협의,"시급 11,000원",01/08
16,경기 고양시,원조부안집 원흥삼송점,시간협의,"시급 11,000원",01/08
17,경기 고양시,원조부안집 원흥삼송점,시간협의,"시급 11,000원",01/08
18,경기 고양시,원조부안집 원흥삼송점,시간협의,"시급 11,000원",01/08
19,경기 고양시,원조부안집 원흥삼송점,시간협의,"시급 11,000원",01/03
