14:10:10
2022-01-18
62건
index,place,title,time,pay,date
1,제주 제주시,유니클로 제주 이도점,시간협의,"시급 11,160원",34분전
2,제주 제주시,유니클로 제주 이도점,시간협의,"연봉 26,330,000원",39분전
3,전남 광양시,유니클로 LF 스퀘어 광양점,시간협의,"시급 11,160원",1시간전
4,전남 광양시,유니클로 LF 스퀘어 광양점,시간협의,"연봉 26,330,000원",1시간전
5,전북 전주시,유니클로 전주 효자점,시간협의,"시급 11,160원",1시간전
6,서울 서대문,유니클로 현대백화점 신촌 U-PLEX,시간협의,"시급 11,160원",1시간전
7,제주 제주시,유니클로 롯데마트 제주점,시간협의,"연봉 26,330,000원",2시간전
8,경기 김포시,유니클로 김포 장기점,시간협의,"시급 9,300원",2시간전
9,경기 광주시,유니클로 경기 광주점,시간협의,"시급 11,160원",2시간전
10,경기 김포시,유니클로 김포 장기점,시간협의,"시급 11,160원",2시간전
11,경기 김포시,유니클로 김포 장기점,시간협의,"연봉 26,330,000원",2시간전
12,경기 성남시,유니클로 이마트 성남점,시간협의,"시급 11,160원",2시간전
13,경기 하남시,유니클로 신세계 스타필드 하남점,시간협의,"연봉 26,330,000원",3시간전
14,경기 하남시,유니클로 신세계 스타필드 하남점,시간협의,"연봉 26,330,000원",3시간전
15,인천 전체,유니클로 부평역사점,시간협의,"시급 11,160원",4시간전
16,인천 전체,유니클로 부평역사점,시간협의,"연봉 26,330,000원",4시간전
17,경기 하남시,유니클로 신세계 스타필드 하남점,시간협의,"연봉 26,330,000원",4시간전
18,경기 광주시,유니클로 경기 광주점,시간협의,"연봉 26,330,000원",4시간전
19,경기 광주시,유니클로 경기 광주점,시간협의,"시급 11,160원",4시간전
20,서울 서초구,유니클로 이마트 양재점,시간협의,"연봉 26,330,000원",4시간전
21,서울 송파구,유니클로 롯데월드몰점,시간협의,"연봉 26,300,000원",4시간전
22,전남 여수시,유니클로 여수 둔덕점,시간협의,"연봉 26,330,000원",4시간전
23,경북 전체,유니클로 포항 해도점,시간협의,"시급 11,160원",4시간전
24,경기 오산시,유니클로 오산점,시간협의,"시급 11,160원",5시간전
25,경기 수원시,유니클로 롯데몰 수원점,시간협의,"연봉 26,330,000원",5시간전
26,경기 하남시,유니클로 신세계 스타필드 하남점,시간협의,"연봉 26,330,000원",5시간전
27,서울 전체,유니클로 광화문 D-Tower점,시간협의,"연봉 26,330,000원",5시간전
28,서울 전체,유니클로 광화문 D-Tower점,시간협의,"시급 11,160원",5시간전
29,서울 은평구,유니클로 롯데몰 은평점,시간협의,"시급 11,160원",5시간전
30,경기 평택시,유니클로 스타필드 안성점,시간협의,"시급 11,160원",5시간전
31,경기 용인시,유니클로 용인 구성점,시간협의,"연봉 26,330,000원",6시간전
32,경기 평택시,유니클로 스타필드 안성점,시간협의,"연봉 26,330,000원",6시간전
33,경기 수원시,유니클로 롯데몰 수원점,시간협의,"연봉 26,330,000원",6시간전
34,경기 이천시,유니클로 롯데몰 이천점,시간협의,"시급 9,300원",6시간전
35,경기 이천시,유니클로 롯데몰 이천점,시간협의,"시급 11,160원",6시간전
36,경기 이천시,유니클로 롯데몰 이천점,시간협의,"연봉 26,330,000원",6시간전
37,경기 수원시,유니클로 롯데몰 수원점,시간협의,"연봉 26,330,000원",6시간전
38,경기 시흥시,유니클로 이마트 시화점,시간협의,"시급 11,160원",6시간전
39,인천 미추홀,유니클로 신세계백화점 인천점,시간협의,"시급 11,160원",6시간전
40,경기 성남시,유니클로 롯데백화점 분당점,시간협의,"시급 11,160원",7시간전
41,제주 제주시,유니클로 롯데마트 제주점,시간협의,"연봉 26,330,000원",7시간전
42,경기 성남시,유니클로 롯데백화점 분당점,시간협의,"시급 11,160원",7시간전
43,전북 군산시,유니클로 롯데몰군산점,시간협의,"연봉 26,330,000원",7시간전
44,경기 용인시,유니클로 롯데몰 수지점,시간협의,"연봉 26,330,000원",20시간전
45,서울 강남구,유니클로 코엑스점,시간협의,"연봉 26,330,000원",21시간전
46,강원 춘천시,유니클로 춘천 M백화점,시간협의,"시급 11,160원",22시간전
47,경기 안산시,유니클로 롯데백화점 안산점,시간협의,"연봉 26,330,000원",22시간전
48,경기 성남시,유니클로 이마트 성남점,시간협의,"연봉 26,330,000원",23시간전
49,인천 연수구,유니클로 현대백화점 송도점,시간협의,"연봉 26,330,000원",01/17
50,경남 진주시,유니클로 진주 중안점,시간협의,"연봉 26,330,000원",01/17
51,경남 창원시,유니클로 롯데마트 마산양덕점,시간협의,"시급 11,160원",01/16
52,대구 중구,유니클로 롯데백화점 대구점,시간협의,"시급 9,300원",01/16
53,경기 성남시,유니클로 현대백화점 판교점,시간협의,"연봉 26,330,000원",01/16
54,부산 수영구,유니클로 메가마트 남천점,10:00~22:00,"시급 11,160원",01/15
55,전북 전체,유니클로 전주 고사점,시간협의,"연봉 26,330,000원",01/15
56,전북 전체,유니클로 전주 효자점,시간협의,"연봉 26,330,000원",01/15
57,경기 하남시,유니클로 신세계 스타필드 하남점,시간협의,"연봉 26,330,000원",01/15
58,경기 화성시,유니클로 이마트 동탄점,시간협의,"연봉 26,330,000원",01/15
59,서울 전체,유니클로 롯데백화점 스타시티점,시간협의,"연봉 26,330,000원",01/15
60,경기 화성시,유니클로 이마트 동탄점,시간협의,"시급 11,160원",01/15
61,전국 전체,유니클로 이마트 성남점,시간협의,"연봉 26,330,000원",01/10
62,서울 송파구,유니클로 롯데월드몰점,시간협의,"연봉 26,300,000원",01/10
