14:16:31
2022-01-18
11건
index,place,title,time,pay,date
1,서울 강북구,육회왕자연어공주 미아본점,시간협의,"월급 2,300,000원",3시간전
2,서울 강북구,육회왕자연어공주 미아본점,시간협의,"월급 2,300,000원",3시간전
3,서울 강북구,육회왕자연어공주 미아본점,시간협의,"월급 2,300,000원",3시간전
4,서울 강북구,육회왕자연어공주 미아본점,시간협의,"월급 2,300,000원",3시간전
5,서울 강북구,육회왕자연어공주 미아본점,시간협의,"월급 2,300,000원",3시간전
6,경기 의정부,육회왕자연어공주 의정부 직영점,시간협의,"월급 2,400,000원",3시간전
7,경기 의정부,육회왕자연어공주 의정부 직영점,시간협의,"월급 2,400,000원",4시간전
8,경기 의정부,육회왕자연어공주 의정부 직영점,시간협의,"월급 2,400,000원",4시간전
9,경기 부천시,육회왕자연어공주 부천역점,17:00~01:30,"시급 9,160원",4시간전
10,경기 성남시,육회왕자연어공주 성남모란점,시간협의,"월급 2,300,000원",6시간전
11,경기 성남시,육회왕자연어공주 성남모란점,시간협의,"월급 2,300,000원",6시간전
