14:04:38
2022-01-18
34건
index,place,title,time,pay,date
1,광주 광산구,이비가푸드 이비가짬뽕  광주 평동점,10:00~15:00,"시급 9,500원",26분전
2,경기 하남시,이비가푸드 이비가짬뽕  경기 올림픽공,10:00~14:00,"시급 12,000원",3시간전
3,인천 서구,이비가푸드 이비가짬뽕  인천 본점,10:00~21:30,"월급 2,700,000원",4시간전
4,인천 서구,이비가푸드 이비가짬뽕  인천 본점,10:00~21:30,"월급 2,700,000원",4시간전
5,광주 광산구,이비가푸드 이비가짬뽕  광주 평동점,10:00~15:00,"시급 9,500원",4시간전
6,광주 광산구,이비가푸드 이비가짬뽕  광주 평동점,10:00~15:00,"시급 9,500원",4시간전
7,인천 남동구,이비가푸드 이비가짬뽕 인천 구월점,10:00~21:00,"월급 2,600,000원",4시간전
8,인천 남동구,이비가푸드 이비가짬뽕 인천 구월점,10:00~21:00,"월급 2,600,000원",4시간전
9,대전 서구,이비가푸드 이비가짬뽕  대전 월평점,09:30~20:30,"월급 2,600,000원",4시간전
10,대전 서구,이비가푸드 이비가짬뽕  대전 월평점,09:30~20:30,"월급 2,600,000원",4시간전
11,서울 송파구,이비가푸드 이비가짬뽕  경기 올림픽공,09:30~18:00,"시급 12,000원",4시간전
12,서울 송파구,이비가푸드 이비가짬뽕  경기 올림픽공,10:00~14:00,"시급 12,000원",4시간전
13,경기 하남시,이비가푸드 이비가짬뽕  경기 하남미사,10:00~20:30,"월급 2,450,000원",4시간전
14,경기 하남시,이비가푸드 이비가짬뽕  경기 하남미사,10:00~20:30,"월급 2,450,000원",4시간전
15,서울 광진구,이비가푸드 이비가짬뽕  서울 구의점,09:30~21:00,"월급 2,630,000원",5시간전
16,서울 광진구,이비가푸드 이비가짬뽕  서울 구의점,09:30~21:00,"월급 2,630,000원",5시간전
17,대전 유성구,이비가푸드 이비가짬뽕  대전 유성본점,09:30~21:30,"월급 2,630,000원",5시간전
18,대전 유성구,이비가푸드 이비가짬뽕  대전 유성본점,09:30~21:30,"월급 2,630,000원",5시간전
19,충남 보령시,이비가푸드 이비가짬뽕  충남 보령점,시간협의,"시급 9,200원",5시간전
20,충남 보령시,이비가푸드 이비가짬뽕  충남 보령점,시간협의,"시급 9,200원",5시간전
21,충남 서산시,이비가푸드 이비가짬뽕  충남 서산점,09:00~21:00,"월급 2,700,000원",5시간전
22,충남 서산시,이비가푸드 이비가짬뽕  충남 서산점,09:00~21:00,"월급 2,700,000원",5시간전
23,서울 강남구,이비가푸드 이비가짬뽕  서울 대치점,09:30~21:30,"월급 2,600,000원",5시간전
24,서울 강남구,이비가푸드 이비가짬뽕  서울 대치점,09:30~21:30,"월급 2,600,000원",5시간전
25,경기 하남시,이비가푸드 이비가짬뽕  경기 올림픽공,09:30~18:00,"시급 12,000원",6시간전
26,대전 서구,이비가푸드 이비가짬뽕  대전 월평점,09:30~20:30,"월급 2,600,000원",6시간전
27,인천 서구,이비가푸드 이비가짬뽕  인천 본점,10:00~21:30,"월급 2,700,000원",19시간전
28,경기 하남시,이비가푸드 이비가짬뽕  경기 하남미사,10:00~20:30,"월급 2,450,000원",21시간전
29,인천 전체,이비가푸드 이비가짬뽕 인천 구월점,10:00~21:00,"월급 2,600,000원",23시간전
30,서울 강남구,이비가푸드 이비가짬뽕  서울 대치점,09:30~21:30,"월급 2,600,000원",01/17
31,충남 서산시,이비가푸드 이비가짬뽕  충남 서산점,09:00~21:00,"월급 2,700,000원",01/16
32,충남 보령시,이비가푸드 이비가짬뽕  충남 보령점,시간협의,"시급 9,200원",01/16
33,대전 전체,이비가푸드 이비가짬뽕  대전 유성본점,09:30~21:30,"월급 2,630,000원",01/16
34,서울 전체,이비가푸드 이비가짬뽕  서울 구의점,09:30~21:00,"월급 2,630,000원",01/15
