13:58:48
2022-01-18
48건
index,place,title,time,pay,date
1,충남 아산시,이어드림 아산3지사,09:30~03:00,"건별 4,000원",36분전
2,충남 아산시,이어드림 아산3지사,09:30~03:00,"건별 4,000원",36분전
3,충남 아산시,이어드림 아산3지사,09:30~03:00,"건별 4,000원",36분전
4,충남 아산시,이어드림 아산1지사,시간협의,"건별 4,000원",2시간전
5,경기 용인시,이어드림 동부지점,시간협의,"월급 6,400,000원",2시간전
6,경기 용인시,이어드림 처인지원센터,08:30~02:00,"일급 200,000원",2시간전
7,경남 창원시,이어드림 도계지점,시간협의,"건별 3,500원",2시간전
8,경남 창원시,이어드림 의창구지점,09:00~02:00,"월급 5,100,000원",2시간전
9,경남 창원시,이어드림 의창구지점,09:00~02:00,"월급 5,100,000원",2시간전
10,대전 대덕구,이어드림 신탄 1지부,시간협의,"일급 200,000원",2시간전
11,경기 평택시,이어드림 송탄국민지점,00:00~24:00,"건별 3,200원",2시간전
12,경기 용인시,이어드림 천리지사,시간협의,"일급 200,000원",2시간전
13,경기 용인시,이어드림 보라지점,시간협의,"건별 3,500원",2시간전
14,경기 수원시,이어드림 수원(본점),시간협의,"건별 3,800원",2시간전
15,경남 창원시,이어드림 중동지점,시간협의,"건별 3,500원",4시간전
16,경남 창원시,이어드림 중동지점,시간협의,"건별 3,500원",4시간전
17,경남 창원시,이어드림 중동지점,시간협의,"건별 3,500원",4시간전
18,충남 아산시,이어드림 아산1지사,시간협의,"건별 4,000원",23시간전
19,경기 용인시,이어드림 동부지점,시간협의,"월급 6,400,000원",23시간전
20,경기 용인시,이어드림 처인지원센터,08:30~02:00,"일급 200,000원",23시간전
21,경남 창원시,이어드림 도계지점,시간협의,"건별 3,500원",23시간전
22,경남 창원시,이어드림 의창구지점,09:00~02:00,"월급 5,100,000원",23시간전
23,대전 대덕구,이어드림 신탄 1지부,시간협의,"일급 200,000원",23시간전
24,경기 평택시,이어드림 송탄국민지점,00:00~24:00,"건별 3,200원",23시간전
25,경기 용인시,이어드림 천리지사,시간협의,"일급 200,000원",23시간전
26,경기 용인시,이어드림 보라지점,시간협의,"건별 3,500원",23시간전
27,경기 수원시,이어드림 수원(본점),시간협의,"건별 3,800원",23시간전
28,경기 용인시,이어드림 천리지사,시간협의,"일급 200,000원",01/14
29,경기 수원시,이어드림 수원(본점),시간협의,"건별 3,800원",01/08
30,충남 아산시,이어드림 아산1지사,시간협의,"건별 4,000원",01/07
31,경기 용인시,이어드림 포곡4지사,시간협의,"월급 4,000,000원",01/07
32,경기 용인시,이어드림 포곡4지사,시간협의,"월급 4,000,000원",01/07
33,경기 용인시,이어드림 포곡4지사,시간협의,"월급 4,000,000원",01/07
34,경기 평택시,이어드림 송탄국민지점,00:00~24:00,"건별 3,200원",01/07
35,인천 전체,이어드림 용현5지사,시간협의,"일급 150,000원",01/07
36,인천 전체,이어드림 용현5지사,시간협의,"일급 150,000원",01/07
37,인천 전체,이어드림 용현5지사,시간협의,"일급 150,000원",01/07
38,인천 미추홀,이어드림 용현3지사,10:00~03:00,"건별 3,500원",01/07
39,인천 미추홀,이어드림 용현3지사,10:00~03:00,"건별 3,500원",01/07
40,인천 미추홀,이어드림 용현3지사,10:00~03:00,"건별 3,500원",01/07
41,경기 용인시,이어드림 처인지점,09:00~02:00,"건별 3,500원",01/07
42,경기 용인시,이어드림 처인지점,09:00~02:00,"건별 3,500원",01/07
43,경기 용인시,이어드림 처인지점,09:00~02:00,"건별 3,500원",01/07
44,경기 용인시,이어드림 보라지점,시간협의,"건별 3,500원",01/07
45,대전 대덕구,이어드림 신탄 1지부,시간협의,"일급 200,000원",01/07
46,경기 수원시,이어드림 수원(호매9지사),10:00~01:00,"일급 200,000원",01/07
47,경기 수원시,이어드림 수원(호매9지사),10:00~01:00,"일급 200,000원",01/07
48,경기 수원시,이어드림 수원(호매9지사),10:00~01:00,"일급 200,000원",01/07
