14:03:20
2022-01-18
11건
index,place,title,time,pay,date
1,경기 고양시,자라리테일코리아,시간협의,"시급 11,370원",13분전
2,부산 전체,자라리테일코리아,시간협의,"시급 11,370원",23시간전
3,서울 전체,인디텍스코리아,시간협의,"시급 11,370원",23시간전
4,경남 전체,자라리테일코리아,시간협의,"시급 11,370원",01/17
5,경기 하남시,인디텍스코리아,시간협의,"시급 11,370원",01/16
6,울산 남구,인디텍스코리아,시간협의,"시급 11,370원",01/14
7,서울 전체,인디텍스코리아,시간협의,"시급 11,370원",01/08
8,경기 전체,자라리테일코리아,시간협의,"시급 11,370원",01/08
9,서울 전체,자라리테일코리아,시간협의,"시급 11,370원",01/08
10,서울 전체,자라리테일코리아,시간협의,"시급 11,370원",01/08
11,충북 전체,자라(인디텍스) 코리아,시간협의,"시급 11,370원",01/02
