14:01:54
2022-01-18
85건
index,place,title,time,pay,date
1,경기 전체,장원교육 일산서부,14:00~20:00,"월급 2,000,000원",1시간전
2,대구 전체,장원교육 강북,14:00~22:00,"월급 2,000,000원",2시간전
3,경기 화성시,장원교육 2동탄,시간협의,"월급 1,800,000원",2시간전
4,경기 화성시,장원교육 2동탄,시간협의,"월급 1,800,000원",2시간전
5,부산 강서구,장원교육 김해,14:00~21:00,"월급 1,500,000원",3시간전
6,부산 부산진,장원교육 부산진북,10:00~21:30,"월급 2,200,000원",3시간전
7,대구 동구,장원교육 대구동구,15:00~21:30,"월급 1,900,000원",3시간전
8,대구 동구,장원교육 대구동구,15:00~21:30,"월급 1,900,000원",3시간전
9,대구 전체,장원교육 대구서구,14:00~21:00,"월급 2,000,000원",3시간전
10,대구 달서구,장원교육 대구용산,시간협의,"월급 2,000,000원",3시간전
11,대구 전체,장원교육 대구시지,13:00~21:00,"월급 1,800,000원",3시간전
12,경북 김천시,장원교육 김천,09:30~18:30,"월급 2,000,000원",3시간전
13,충남 아산시,장원교육 신아산,10:00~20:00,"월급 2,000,000원",3시간전
14,경기 평택시,장원교육 평택남부,10:00~18:00,"월급 1,800,000원",3시간전
15,경기 용인시,장원교육 용인기흥,09:30~18:30,"월급 2,000,000원",3시간전
16,경기 군포시,장원교육 군포과천,10:00~21:00,"월급 2,000,000원",3시간전
17,경기 군포시,장원교육 군포과천,14:00~21:00,"월급 2,000,000원",3시간전
18,서울 금천구,장원교육 금천,10:00~20:00,"월급 2,000,000원",3시간전
19,서울 금천구,장원교육 금천,10:00~20:00,"월급 2,000,000원",3시간전
20,서울 금천구,장원교육 금천,10:00~20:00,"월급 2,000,000원",3시간전
21,인천 서구,장원교육 인천중부,시간협의,"월급 2,000,000원",3시간전
22,인천 서구,장원교육 인천중부,시간협의,"월급 2,000,000원",3시간전
23,인천 미추홀,장원교육 인천중부,시간협의,"월급 2,000,000원",3시간전
24,경기 김포시,장원교육 김포,10:00~20:00,"월급 2,000,000원",3시간전
25,경기 남양주,장원교육 퇴계원,시간협의,"월급 2,000,000원",3시간전
26,서울 도봉구,장원교육 서울도봉,시간협의,"월급 2,000,000원",3시간전
27,서울 성북구,장원교육 성북서,시간협의,"월급 2,000,000원",3시간전
28,충북 제천시,장원교육 제천,16:00~21:00,"월급 2,000,000원",3시간전
29,대구 달서구,장원교육 월배,시간협의,"월급 2,000,000원",3시간전
30,경북 영주시,장원교육 영주,10:00~18:00,"월급 1,000,000원",3시간전
31,대구 달서구,장원교육 월배,시간협의,"월급 2,000,000원",3시간전
32,대구 전체,장원교육 강북,14:00~22:00,"월급 1,800,000원",3시간전
33,대구 전체,장원교육 수성,14:00~22:00,"월급 2,000,000원",3시간전
34,충남 천안시,장원교육 천안,14:00~22:00,"월급 1,800,000원",3시간전
35,충북 청주시,장원교육 청주,14:00~22:00,"월급 1,800,000원",3시간전
36,충북 청주시,장원교육 청주,14:00~22:00,"월급 1,800,000원",3시간전
