14:09:44
2022-01-18
18건
index,place,title,time,pay,date
1,부산 동래구,정직유부 명륜점,시간협의,"월급 2,500,000원",23분전
2,경기 평택시,정직유부 고덕점,11:00~20:00,"월급 2,300,000원",1시간전
3,경남 창원시,정직유부 대방점,10:30~20:30,"월급 2,500,000원",2시간전
4,경남 진주시,정직유부 진주혁신도시점,시간협의,"시급 9,200원",3시간전
5,경남 진주시,정직유부 진주혁신도시점,시간협의,"시급 9,200원",5시간전
6,경남 진주시,정직유부 진주혁신도시점,시간협의,"시급 9,200원",5시간전
7,경남 창원시,정직유부 내서점,시간협의,"시급 9,160원",6시간전
8,경남 창원시,정직유부 내서점,시간협의,"시급 9,160원",6시간전
9,경남 창원시,정직유부 내서점,시간협의,"시급 9,160원",6시간전
10,경남 진주시,정직유부 진주혁신도시점,시간협의,"시급 9,200원",6시간전
11,경남 진주시,정직유부 진주혁신도시점,시간협의,"시급 9,200원",6시간전
12,경남 창원시,정직유부 내서점,시간협의,"시급 9,160원",20시간전
13,부산 동래구,정직유부 안락점,14:00~21:00,"시급 9,160원",01/14
14,경남 창원시,정직유부 창원중앙역점,10:00~20:00,"월급 2,300,000원",01/14
15,경기 광명시,정직유부 광명역점,시간협의,"월급 2,760,000원",01/13
16,경남 창원시,정직유부 사림점,10:00~20:00,"월급 2,300,000원",01/13
17,부산 전체,정직유부 초량점,10:30~13:30,"시급 9,160원",01/07
18,부산 사상구,정직유부 사상점,09:30~20:30,"월급 1,300,000원",01/05
