place,title,time,pay,date
서울 영등포,(주)지오다노,시간협의,"연봉 26,600,000원",3시간전
경기 안성시,(주)지오다노,12:00~21:00,"연봉 26,600,000원",4시간전
경기 안성시,(주)지오다노,시간협의,"연봉 26,600,000원",4시간전
경기 용인시,(주)지오다노,09:30~18:30,"연봉 26,600,000원",01/15
경기 용인시,(주)지오다노,09:30~18:30,"연봉 26,600,000원",01/15
경기 안성시,(주)지오다노,시간협의,"연봉 26,600,000원",01/14
경기 용인시,(주)지오다노,09:30~18:30,"연봉 26,600,000원",01/13
경기 용인시,(주)지오다노,09:30~18:30,"연봉 26,600,000원",01/13
경기 안성시,(주)지오다노,시간협의,"연봉 26,600,000원",01/13
서울 영등포,(주)지오다노,시간협의,"연봉 26,600,000원",01/13
경기 용인시,(주)지오다노,09:30~18:30,"연봉 26,600,000원",01/12
서울 영등포,(주)지오다노,시간협의,"연봉 26,600,000원",01/12
경기 안성시,(주)지오다노,시간협의,"연봉 26,600,000원",01/12
경기 여주시,(주)지오다노,09:30~18:30,"연봉 26,600,000원",01/03
