13:58:52
2022-01-18
37건
index,place,title,time,pay,date
1,경기 김포시,진1926 김포 풍무점,16:00~22:00,"시급 11,000원",01/16
2,경기 김포시,진1926 김포 풍무점,16:00~22:00,"시급 11,000원",01/16
3,경기 김포시,진1926 김포 풍무점,16:00~22:00,"시급 11,000원",01/16
4,경기 김포시,진1926 김포 풍무점,16:00~22:00,"시급 11,000원",01/16
5,인천 미추홀,진1926 도화점,00:00~24:00,"시급 10,000원",01/15
6,인천 미추홀,진1926 도화점,00:00~24:00,"시급 10,000원",01/15
7,인천 미추홀,진1926 도화점,00:00~24:00,"시급 10,000원",01/15
8,인천 미추홀,진1926 도화점,00:00~24:00,"시급 10,000원",01/15
9,인천 미추홀,진1926 도화점,00:00~24:00,"시급 10,000원",01/15
10,서울 용산구,진1926 한남점,17:00~24:00,"시급 11,006원",01/15
11,서울 용산구,진1926 한남점,17:00~24:00,"시급 11,006원",01/15
12,서울 용산구,진1926 한남점,17:00~24:00,"시급 11,006원",01/15
13,서울 용산구,진1926 한남점,17:00~24:00,"시급 11,006원",01/15
14,서울 영등포,진1926 여의도점,18:00~22:00,"시급 10,000원",01/15
15,서울 영등포,진1926 여의도점,18:00~22:00,"시급 10,000원",01/15
16,서울 영등포,진1926 여의도점,18:00~22:00,"시급 10,000원",01/15
17,서울 영등포,진1926 여의도점,18:00~22:00,"시급 10,000원",01/15
18,경기 시흥시,진1926 시흥 시화점,시간협의,"시급 9,160원",01/15
19,경기 시흥시,진1926 시흥 시화점,시간협의,"시급 9,160원",01/15
20,경기 시흥시,진1926 시흥 시화점,시간협의,"시급 9,160원",01/15
21,경기 시흥시,진1926 시흥 시화점,시간협의,"시급 9,160원",01/15
22,서울 은평구,진1926 구파발점,17:30~21:00,"시급 10,500원",01/15
23,서울 은평구,진1926 구파발점,17:30~21:00,"시급 10,500원",01/15
24,경기 수원시,진1926 호매실점,18:00~21:00,"시급 9,200원",01/15
25,경기 수원시,진1926 호매실점,18:00~21:00,"시급 9,200원",01/15
26,경기 수원시,진1926 호매실점,18:00~21:00,"시급 9,200원",01/14
27,서울 은평구,진1926 구파발점,17:30~21:00,"시급 10,500원",01/11
28,서울 은평구,진1926 구파발점,17:30~21:00,"시급 10,500원",01/10
29,서울 은평구,진1926 구파발점,17:30~21:00,"시급 10,500원",01/10
30,충북 청주시,진1926 복대점,18:00~24:00,"시급 10,000원",01/09
31,충북 청주시,진1926 복대점,18:00~24:00,"시급 10,000원",01/09
32,충북 청주시,진1926 복대점,18:00~24:00,"시급 10,000원",01/09
33,충북 청주시,진1926 복대점,18:00~24:00,"시급 10,000원",01/09
34,경기 시흥시,진1926 시흥 시화점,시간협의,"시급 9,160원",01/09
35,대전 유성구,진1926 봉명점,18:00~23:00,"시급 9,300원",01/09
36,대전 유성구,진1926 봉명점,18:00~23:00,"시급 9,300원",01/06
37,경기 수원시,진1926 호매실점,18:00~21:00,"시급 9,200원",01/05
