14:10:29
2022-01-18
32건
index,place,title,time,pay,date
1,경기 성남시,짬뽕지존 분당오리역점,10:00~21:00,"월급 2,200,000원",7분전
2,충북 청주시,짬뽕지존 청주사창점,시간협의,"월급 2,600,000원",25분전
3,경기 성남시,짬뽕지존 분당오리역점,10:00~21:00,"월급 2,200,000원",3시간전
4,경기 성남시,짬뽕지존 분당오리역점,10:00~21:00,"월급 2,200,000원",4시간전
5,전북 전주시,짬뽕지존 덕진점,09:00~21:00,"월급 2,600,000원",5시간전
6,전북 전주시,짬뽕지존 덕진점,09:00~21:00,"월급 2,600,000원",5시간전
7,전북 전주시,짬뽕지존 덕진점,09:00~21:00,"월급 2,600,000원",5시간전
8,전북 전주시,짬뽕지존 덕진점,09:00~21:00,"월급 2,600,000원",5시간전
9,전북 전주시,짬뽕지존 덕진점,09:00~21:00,"월급 2,600,000원",5시간전
10,전북 전주시,짬뽕지존 전북도청점,시간협의,"월급 2,700,000원",6시간전
11,전북 전주시,짬뽕지존 전북도청점,시간협의,"월급 2,700,000원",6시간전
12,전북 전주시,짬뽕지존 전북도청점,시간협의,"월급 2,700,000원",6시간전
13,전북 전주시,짬뽕지존 전북도청점,시간협의,"월급 2,700,000원",6시간전
14,전북 전주시,짬뽕지존 전북도청점,시간협의,"월급 2,700,000원",6시간전
15,전북 전주시,짬뽕지존 전주혁신점,09:00~21:00,"월급 2,600,000원",6시간전
16,전북 전주시,짬뽕지존 전주혁신점,09:00~21:00,"월급 2,600,000원",6시간전
17,전북 전주시,짬뽕지존 전주혁신점,09:00~21:00,"월급 2,600,000원",7시간전
18,전북 전주시,짬뽕지존 전주혁신점,09:00~21:00,"월급 2,600,000원",7시간전
19,전북 전주시,짬뽕지존 전주혁신점,09:00~21:00,"월급 2,600,000원",7시간전
20,충북 청주시,짬뽕지존 청주사창점,시간협의,"월급 2,600,000원",01/17
21,대구 수성구,짬뽕지존 대구수성점,10:00~22:00,"월급 2,500,000원",01/16
22,대구 수성구,짬뽕지존 대구수성점,10:00~22:00,"월급 2,500,000원",01/13
23,경기 화성시,짬뽕지존 용인남사점,09:30~21:30,"월급 2,900,000원",01/12
24,경기 화성시,짬뽕지존 용인남사점,09:30~21:30,"월급 2,900,000원",01/12
25,경기 오산시,짬뽕지존 용인남사점,09:30~21:30,"월급 2,900,000원",01/12
26,경기 용인시,짬뽕지존 용인남사점,09:30~21:30,"월급 2,900,000원",01/12
27,대전 유성구,짬뽕지존 대전노은점,10:00~22:00,"월급 2,700,000원",01/11
28,제주 제주시,짬뽕지존 제주점,09:00~21:00,"월급 2,750,000원",01/07
29,대구 수성구,짬뽕지존 대구수성점,10:00~22:00,"월급 2,500,000원",01/05
30,경기 평택시,짬뽕지존 포승점,09:00~21:00,"월급 2,600,000원",01/04
31,충북 청주시,짬뽕지존 청주사창점,시간협의,"시급 9,160원",01/02
32,경기 평택시,짬뽕지존 포승점,09:00~21:00,"월급 2,600,000원",01/02
