14:14:08
2022-01-18
15건
index,place,title,time,pay,date
1,세종 어진동,째깍악어(주),16:00~20:00,"시급 12,000원",4시간전
2,세종 새롬동,째깍악어(주),16:00~20:00,"시급 12,000원",4시간전
3,세종 어진동,째깍악어(주),16:00~20:00,"시급 17,000원",4시간전
4,세종 어진동,째깍악어(주),16:00~20:00,"시급 17,000원",4시간전
5,울산 전체,째깍악어(주),16:00~20:00,"시급 17,000원",4시간전
6,울산 전체,째깍악어(주),16:00~20:00,"시급 24,000원",4시간전
7,울산 전체,째깍악어(주),16:00~20:00,"시급 12,000원",4시간전
8,서울 강동구,째깍악어(주),시간협의,"월급 2,088,000원",01/12
9,세종 새롬동,째깍악어(주),16:00~20:00,"시급 12,000원",01/08
10,세종 어진동,째깍악어(주),16:00~20:00,"시급 12,000원",01/08
11,세종 어진동,째깍악어(주),16:00~20:00,"시급 17,000원",12/30
12,세종 어진동,째깍악어(주),16:00~20:00,"시급 17,000원",12/30
13,울산 전체,째깍악어(주),16:00~20:00,"시급 12,000원",12/30
14,울산 전체,째깍악어(주),16:00~20:00,"시급 24,000원",12/30
15,울산 전체,째깍악어(주),16:00~20:00,"시급 17,000원",12/30
