14:11:22
2022-01-18
29건
index,place,title,time,pay,date
1,경기 평택시,코코이찌방야 평택험프리스점,시간협의,"월급 2,200,000원",2시간전
2,인천 서구,코코이찌방야 청라스퀘어7점,11:30~21:00,"시급 9,160원",4시간전
3,인천 서구,코코이찌방야 청라스퀘어7점,11:30~21:00,"시급 9,160원",5시간전
4,경기 광명시,코코이찌방야 롯데아울렛 광명점,시간협의,"시급 11,000원",6시간전
5,서울 도봉구,코코이찌방야 종로타워점,시간협의,"연봉 29,000,000원",7시간전
6,서울 마포구,코코이찌방야 종로타워점,시간협의,"연봉 29,000,000원",7시간전
7,서울 강북구,코코이찌방야 종로타워점,시간협의,"연봉 29,000,000원",7시간전
8,서울 양천구,코코이찌방야 종로타워점,시간협의,"연봉 29,000,000원",7시간전
9,서울 종로구,코코이찌방야 종로타워점,시간협의,"연봉 29,000,000원",7시간전
10,서울 관악구,코코이찌방야 롯데몰김포공항점,시간협의,"연봉 29,000,000원",7시간전
11,서울 강동구,코코이찌방야 건대스타시티점,시간협의,"연봉 29,000,000원",7시간전
12,서울 중랑구,코코이찌방야 건대스타시티점,시간협의,"연봉 29,000,000원",7시간전
13,서울 강서구,코코이찌방야 건대스타시티점,시간협의,"연봉 29,000,000원",7시간전
14,서울 송파구,코코이찌방야 건대스타시티점,시간협의,"연봉 29,000,000원",7시간전
15,서울 광진구,코코이찌방야 건대스타시티점,시간협의,"연봉 29,000,000원",7시간전
16,서울 구로구,코코이찌방야 롯데몰김포공항점,시간협의,"연봉 29,000,000원",7시간전
17,서울 노원구,코코이찌방야 롯데몰김포공항점,시간협의,"연봉 29,000,000원",7시간전
18,서울 광진구,코코이찌방야 롯데몰김포공항점,시간협의,"연봉 29,000,000원",7시간전
19,서울 관악구,코코이찌방야 롯데몰김포공항점,시간협의,"연봉 29,000,000원",7시간전
20,경기 성남시,코코이찌방야 판교알파돔시티점,11:30~16:00,"시급 11,002원",7시간전
21,경기 성남시,코코이찌방야 판교알파돔시티점,17:00~21:30,"시급 11,002원",7시간전
22,인천 서구,코코이찌방야 청라스퀘어7점,11:30~21:00,"시급 9,160원",7시간전
23,인천 서구,코코이찌방야 청라스퀘어7점,11:30~21:00,"시급 9,160원",7시간전
24,경기 평택시,코코이찌방야 평택험프리스점,시간협의,"월급 2,200,000원",7시간전
25,경기 평택시,코코이찌방야 평택험프리스점,시간협의,"월급 2,200,000원",7시간전
26,경기 평택시,코코이찌방야 평택험프리스점,시간협의,"월급 2,200,000원",7시간전
27,경기 평택시,코코이찌방야 평택험프리스점,시간협의,"월급 2,200,000원",7시간전
28,경기 성남시,코코이찌방야 판교알파돔시티점,17:00~21:30,"시급 11,002원",01/11
29,경기 성남시,코코이찌방야 판교알파돔시티점,11:30~16:00,"시급 11,002원",01/09
