14:06:28
2022-01-18
89건
index,place,title,time,pay,date
1,인천 미추홀,크리스피 크림 도넛 롯데백화점 인천터,09:00~15:00,"시급 9,160원",6분전
2,충남 천안시,크리스피크림도넛  천안터미널점,15:00~20:30,"시급 9,160원",48분전
3,대구 전체,크리스피 크림 도넛 대구범어점,23:30~05:00,"시급 9,160원",52분전
4,서울 전체,크리스피크림도넛  코엑스몰점,15:00~22:00,"시급 9,160원",57분전
5,충북 청주시,크리스피크림도넛  현대충청점,09:00~14:00,"시급 9,160원",1시간전
6,대전 서구,크리스피크림도넛 대전둔산점,22:00~07:00,"시급 9,160원",2시간전
7,대전 서구,크리스피크림도넛 대전둔산점,22:00~07:00,"시급 9,160원",2시간전
8,대전 서구,크리스피크림도넛 대전둔산점,22:00~07:00,"시급 9,160원",2시간전
9,경남 김해시,크리스피 크림 도넛 김해봉황점,22:00~07:00,"시급 9,160원",2시간전
10,경남 사천시,크리스피 크림 도넛 김해봉황점,09:30~22:00,"시급 9,160원",2시간전
11,서울 강남구,크리스피크림도넛 강남역점,15:00~23:00,"시급 9,160원",3시간전
12,울산 남구,크리스피크림도넛 울산삼산점,13:00~20:00,"시급 9,160원",4시간전
13,울산 남구,크리스피크림도넛 울산삼산점,16:00~23:00,"시급 9,160원",5시간전
14,경북 문경시,크리스피크림도넛 대구범어제조,12:00~21:00,"시급 9,160원",6시간전
15,경기 하남시,크리스피크림도넛  대치점,17:00~22:00,"시급 9,160원",12시간전
16,경기 하남시,크리스피크림도넛  대치점,17:00~22:00,"시급 9,160원",12시간전
17,경기 하남시,크리스피크림도넛  대치점,17:00~22:00,"시급 9,160원",12시간전
18,경기 수원시,크리스피크림도넛  수원인계점,시간협의,"시급 9,270원",16시간전
19,경기 수원시,크리스피크림도넛  수원인계점,시간협의,"시급 9,160원",16시간전
20,경남 김해시,크리스피크림도넛  롯데김해아울렛점,10:00~15:30,"시급 9,160원",16시간전
21,서울 서초구,크리스피 크림 도넛 남부터미널점,07:00~13:30,"시급 9,160원",17시간전
22,서울 서초구,크리스피 크림 도넛 남부터미널점,15:00~22:30,"시급 9,160원",18시간전
23,서울 전체,크리스피크림도넛  코엑스몰점,15:00~22:00,"시급 9,160원",18시간전
24,경기 군포시,크리스피 크림 도넛 롯데피트인산본점,15:30~22:00,"시급 9,160원",19시간전
25,경기 군포시,크리스피 크림 도넛 롯데피트인산본점,15:30~22:00,"시급 9,160원",19시간전
26,경기 군포시,크리스피 크림 도넛 롯데피트인산본점,15:30~22:00,"시급 9,160원",19시간전
27,서울 광진구,크리스피크림도넛  건대스타시티점,18:00~00:00,"시급 9,160원",19시간전
28,서울 중랑구,크리스피크림도넛  건대스타시티점,18:00~00:00,"시급 9,160원",19시간전
29,서울 성동구,크리스피크림도넛  건대스타시티점,18:00~00:00,"시급 9,160원",19시간전
30,경기 부천시,크리스피크림도넛 부천 커미서리,24:00~24:00,"시급 9,160원",19시간전
31,경기 부천시,크리스피크림도넛 부천 커미서리,24:00~24:00,"시급 9,160원",19시간전
32,경기 부천시,크리스피크림도넛 부천 커미서리,24:00~24:00,"시급 9,160원",19시간전
33,경기 부천시,크리스피크림도넛 부천 커미서리,24:00~24:00,"시급 9,160원",19시간전
34,서울 성동구,크리스피 크림 도넛 왕십리역사점,18:00~22:30,"시급 9,160원",19시간전
35,서울 성동구,크리스피 크림 도넛 왕십리역사점,18:00~22:30,"시급 9,160원",19시간전
36,강원 원주시,크리스피크림도넛 원주무실점,07:00~15:00,"시급 9,160원",20시간전
37,서울 양천구,크리스피크림도넛  오목교점,시간협의,"월급 2,200,000원",20시간전
38,대구 달서구,크리스피크림도넛  롯데상인점,15:00~20:30,"시급 9,160원",21시간전
39,충남 천안시,크리스피크림도넛  천안터미널점,15:00~20:30,"시급 9,160원",22시간전
40,서울 용산구,크리스피크림도넛  남영역점,11:00~18:00,"시급 9,160원",22시간전
41,서울 용산구,크리스피크림도넛  남영역점,11:00~18:00,"시급 9,160원",22시간전
42,서울 용산구,크리스피크림도넛  남영역점,11:00~18:00,"시급 9,160원",22시간전
43,서울 용산구,크리스피크림도넛  남영역점,11:00~18:00,"시급 9,160원",22시간전
44,서울 용산구,크리스피크림도넛  남영역점,11:00~18:00,"시급 9,160원",22시간전
45,서울 서초구,크리스피 크림 도넛 남부터미널점,15:00~22:30,"시급 9,160원",22시간전
46,서울 서초구,크리스피 크림 도넛 남부터미널점,07:00~14:00,"시급 9,160원",22시간전
47,서울 서초구,크리스피 크림 도넛 남부터미널점,15:00~22:30,"시급 9,160원",22시간전
48,경기 안양시,크리스피크림도넛  롯데평촌점,15:00~20:00,"시급 9,160원",22시간전
49,경기 수원시,크리스피크림도넛  롯데몰수원점,15:00~21:00,"시급 9,160원",22시간전
50,경기 수원시,크리스피크림도넛  롯데몰수원점,15:00~21:00,"시급 9,160원",22시간전
51,서울 전체,크리스피크림도넛  코엑스몰점,15:00~22:00,"시급 9,160원",23시간전
52,광주 광산구,크리스피크림도넛  광주첨단제조,22:00~07:00,"시급 9,270원",01/17
53,광주 광산구,크리스피크림도넛  광주첨단제조,시간협의,"시급 9,160원",01/17
54,경기 광명시,크리스피크림도넛  메세나폴리스점,시간협의,"시급 9,160원",01/17
55,경기 광명시,크리스피크림도넛  메세나폴리스점,시간협의,"시급 9,160원",01/17
56,경기 광명시,크리스피크림도넛  메세나폴리스점,시간협의,"시급 9,160원",01/17
57,서울 전체,크리스피크림도넛  코엑스몰점,15:00~22:00,"시급 9,160원",01/17
58,경기 광명시,크리스피크림도넛  메세나폴리스점,시간협의,"시급 9,160원",01/17
59,경기 광명시,크리스피크림도넛  메세나폴리스점,시간협의,"시급 9,160원",01/17
60,경기 고양시,크리스피크림도넛  롯데일산점,15:00~20:00,"시급 9,160원",01/17
61,대구 수성구,크리스피 크림 도넛 대구범어점,12:00~19:00,"시급 9,160원",01/17
62,경기 부천시,크리스피크림도넛 부천 커미서리,24:00~24:00,"시급 9,160원",01/17
63,서울 양천구,크리스피크림도넛  오목교점,시간협의,"월급 2,200,000원",01/16
64,서울 양천구,크리스피크림도넛  오목교점,시간협의,"월급 2,200,000원",01/16
65,서울 강서구,크리스피크림도넛  롯데몰김포공항점,08:00~14:00,"시급 9,160원",01/16
66,서울 강서구,크리스피크림도넛  롯데몰김포공항점,08:00~14:00,"시급 9,160원",01/16
67,서울 양천구,크리스피크림도넛  오목교점,시간협의,"시급 9,160원",01/16
68,경기 안양시,크리스피크림도넛  롯데평촌점,09:30~15:00,"시급 9,160원",01/15
69,대구 수성구,크리스피 크림 도넛 대구범어점,19:00~23:00,"시급 9,160원",01/14
70,대구 전체,크리스피 크림 도넛 대구범어점,17:00~23:00,"시급 9,270원",01/14
71,대구 전체,크리스피 크림 도넛 대구범어점,15:00~23:00,"시급 9,270원",01/14
72,서울 강남구,크리스피 크림 도넛 수서역사점,08:00~15:00,"시급 9,160원",01/13
73,서울 강남구,크리스피 크림 도넛 수서역사점,10:00~15:00,"시급 9,160원",01/13
74,서울 강남구,크리스피 크림 도넛 수서역사점,06:00~14:00,"시급 9,160원",01/13
75,서울 강남구,크리스피 크림 도넛 수서역사점,08:00~15:00,"시급 9,160원",01/13
76,서울 강남구,크리스피 크림 도넛 수서역사점,06:00~14:00,"시급 9,160원",01/13
77,강원 원주시,크리스피크림도넛 원주무실점,14:00~22:00,"시급 9,270원",01/13
78,강원 원주시,크리스피크림도넛 원주무실점,17:00~22:00,"시급 9,270원",01/13
79,충북 청주시,크리스피크림도넛  롯데청주아울렛점,16:00~21:30,"시급 9,160원",01/12
80,서울 마포구,크리스피 크림 도넛 마포T타운점,15:30~21:30,"시급 9,160원",01/12
81,경기 이천시,크리스피크림도넛  롯데이천아울렛점,13:00~21:00,"시급 9,160원",01/11
82,경기 이천시,크리스피크림도넛  롯데이천아울렛점,13:00~21:00,"시급 9,160원",01/11
83,경기 이천시,크리스피크림도넛  롯데이천아울렛점,13:00~21:00,"시급 9,160원",01/11
84,경기 이천시,크리스피크림도넛  롯데이천아울렛점,13:00~21:00,"시급 9,160원",01/11
85,경기 이천시,크리스피크림도넛  롯데이천아울렛점,13:00~21:00,"시급 9,160원",01/11
86,서울 양천구,크리스피크림도넛  오목교점,시간협의,"월급 2,200,000원",01/09
