13:58:45
2022-01-18
20건
index,place,title,time,pay,date
1,경기 시흥시,탄광맥주 배곧점,18:00~00:00,"시급 9,160원",2분전
2,경기 시흥시,탄광맥주 배곧점,16:00~02:00,"월급 2,500,000원",2분전
3,충남 천안시,탄광맥주 천안불당점,시간협의,"시급 10,000원",3분전
4,충남 천안시,탄광맥주 천안불당점,시간협의,"시급 10,000원",3분전
5,충남 천안시,탄광맥주 천안불당점,시간협의,"시급 10,000원",3분전
6,충남 천안시,탄광맥주 천안불당점,시간협의,"시급 10,000원",3분전
7,충남 천안시,탄광맥주 천안성성점,시간협의,"시급 10,500원",4분전
8,충남 천안시,탄광맥주 천안성성점,시간협의,"시급 10,500원",4분전
9,충남 천안시,탄광맥주 천안성성점,06:00~01:00,"시급 11,000원",4분전
10,울산 남구,탄광맥주 울산수암점,17:00~09:30,"시급 9,160원",5분전
11,울산 남구,탄광맥주 울산수암점,17:00~09:30,"시급 9,160원",5분전
12,울산 남구,탄광맥주 울산수암점,17:00~09:30,"시급 9,160원",5분전
13,울산 남구,탄광맥주 울산수암점,17:00~09:30,"시급 9,160원",5분전
14,경기 시흥시,탄광맥주 배곧점,18:00~00:00,"시급 9,160원",4시간전
15,경기 시흥시,탄광맥주 배곧점,16:00~02:00,"월급 2,500,000원",7시간전
16,경기 시흥시,탄광맥주 배곧점,18:00~00:00,"시급 9,160원",01/16
17,충남 천안시,탄광맥주 천안성성점,06:00~01:00,"시급 11,000원",01/16
18,충남 천안시,탄광맥주 천안불당점,시간협의,"시급 10,000원",01/13
19,충남 천안시,탄광맥주 천안성성점,시간협의,"시급 10,500원",01/10
20,울산 남구,탄광맥주 울산수암점,17:00~09:30,"시급 9,160원",01/10
