14:07:02
2022-01-18
523건
index,place,title,time,pay,date
1,경기 수원시,투썸플레이스 수원 천천점,12:30~19:00,"시급 9,160원",1분전
2,서울 양천구,투썸플레이스 양천신목로점,시간협의,"월급 2,250,000원",10분전
3,서울 강남구,투썸플레이스 포스코사거리점,16:30~22:30,"시급 9,300원",10분전
4,경남 거제시,투썸플레이거제고현점,시간협의,"시급 9,160원",11분전
5,서울 강남구,투썸플레이스 신사세로수길점,08:00~21:30,"시급 9,160원",11분전
6,경기 안양시,투썸플레이스 석수역점,14:00~22:30,"시급 10,992원",15분전
7,경기 광명시,투썸플레이스 광명신촌사거리점,17:00~21:30,"시급 9,160원",25분전
8,서울 강서구,(주)유앤장,시간협의,"월급 1,950,000원",25분전
9,충북 청주시,투썸플레이스청주율량점,18:00~22:30,"시급 9,200원",28분전
10,부산 동구,투썸플레이스범일점,17:30~22:00,"시급 9,160원",32분전
11,서울 마포구,투썸플레이스(주),시간협의,"시급 9,300원",36분전
12,경남 김해시,투썸플레이스 김해주촌선천지구점,시간협의,"시급 9,160원",38분전
13,전남 여수시,투썸플레이스 여수 학동점,18:00~22:30,"시급 9,160원",41분전
14,경기 안양시,투썸플레이스 안양예술공원점,19:00~21:00,"시급 9,160원",41분전
15,서울 중랑구,투썸플레이스,시간협의,"시급 9,300원",53분전
16,경기 수원시,(주)투올,시간협의,"월급 2,000,000원",56분전
17,부산 해운대,투썸플레이스 해운대중동역점(부산중동),시간협의,"월급 2,100,000원",1시간전
18,경남 김해시,투썸플레이스 김해주촌선천지구점,시간협의,"시급 9,160원",1시간전
19,강원 춘천시,투썸플레이스춘천퇴계점,시간협의,"시급 9,160원",1시간전
20,서울 송파구,투썸플레이스(주),시간협의,"시급 9,160원",1시간전
21,경기 성남시,투썸야탑역점,20:00~02:00,"시급 9,160원",1시간전
22,경기 화성시,투썸플레이스 화성북양DT점,시간협의,"시급 9,500원",1시간전
23,경기 수원시,(주)투올,16:00~22:00,"시급 9,160원",1시간전
24,경기 성남시,투썸야탑역점,18:00~24:00,"시급 9,160원",1시간전
25,경남 김해시,투썸플레이스 장유율하 원메이저점,17:00~22:00,"시급 9,160원",1시간전
26,경기 수원시,(주)투올,16:00~22:00,"시급 9,160원",1시간전
27,경기 수원시,(주)투올,시간협의,"월급 2,000,000원",1시간전
28,서울 노원구,투썸플레이스,08:00~13:00,"시급 9,160원",1시간전
29,경기 성남시,투썸플레이스분당미금점,07:00~16:00,"연봉 2,300,000원",1시간전
30,서울 강서구,투썸강서송정역점,08:00~14:00,"시급 9,160원",2시간전
31,서울 영등포,투썸플레이스 대림역점,17:30~21:30,"시급 9,160원",2시간전
32,경기 수원시,투썸플레이스(주) 수원블라썸파크점,08:00~14:00,"시급 9,300원",2시간전
33,서울 강남구,투썸플레이스(주),시간협의,"시급 9,300원",2시간전
34,서울 서초구,투썸 예술의전당점,시간협의,"월급 2,300,000원",2시간전
35,서울 서초구,투썸플레이스 예술의전당점,시간협의,"월급 2,150,000원",2시간전
36,서울 서초구,투썸 예술의전당점,12:00~17:00,"시급 9,160원",2시간전
37,경기 오산시,투썸플레이스오산시청점,18:00~21:30,"시급 9,160원",2시간전
38,세종 조치원읍,투썸플레이스 조치원점,시간협의,"시급 9,160원",2시간전
39,서울 금천구,투썸플레이스 가산디지털점,15:00~21:30,"시급 9,160원",2시간전
40,충북 증평군,투썸플레이스충북증평점,08:30~12:30,"시급 9,160원",2시간전
41,충북 증평군,투썸플레이스충북증평점,12:00~17:00,"시급 9,160원",2시간전
42,충북 증평군,투썸플레이스충북증평점,17:00~22:00,"시급 9,160원",2시간전
43,경남 김해시,투썸플레이스 김해주촌선천지구점,시간협의,"시급 9,160원",2시간전
44,서울 노원구,투썸플레이스,19:00~23:00,"시급 9,160원",2시간전
45,전북 전주시,투썸플레이스 전주신시가지점,12:00~15:00,"시급 9,160원",2시간전
46,서울 강남구,투썸플레이스 신사세로수길점,08:00~21:30,"시급 9,160원",2시간전
47,서울 송파구,투썸플레이스 송파구청사거리점,08:00~13:00,"시급 9,160원",2시간전
48,서울 양천구,투썸플레이스 양천신목로점,시간협의,"월급 2,150,000원",2시간전
49,서울 양천구,투썸플레이스 양천신목로점,13:30~22:30,"월급 2,050,000원",2시간전
50,서울 마포구,투썸플레이스(주),시간협의,"시급 9,300원",2시간전
51,경기 고양시,투썸플레이스 일산문화공원점,15:00~19:30,"시급 9,160원",2시간전
52,충북 증평군,투썸플레이스충북증평점,12:00~17:00,"시급 9,160원",2시간전
53,충북 증평군,투썸플레이스충북증평점,08:30~12:30,"시급 9,160원",2시간전
54,대전 전체,대전선샤인호텔점투썸플레이스,시간협의,"시급 9,160원",2시간전
55,서울 송파구,투썸플레이스 송파구청사거리점,06:30~15:30,"월급 2,252,600원",2시간전
56,울산 북구,투썸플레이스울산매곡점,시간협의,"시급 9,160원",2시간전
57,서울 마포구,투썸플레이스(주),09:00~18:00,"월급 2,170,000원",2시간전
58,경기 구리시,투썸플레이스구리담터점,08:30~17:30,"월급 2,590,000원",3시간전
59,경기 남양주,투썸플레이스 도농사거리점,시간협의,"월급 2,106,800원",3시간전
60,경기 김포시,투썸플레이스김포신곡점,시간협의,"시급 9,160원",3시간전
61,경기 평택시,투썸플레이스평택세교점,17:30~22:30,"시급 9,160원",3시간전
62,충북 증평군,투썸플레이스충북증평점,17:00~22:00,"시급 9,160원",3시간전
63,서울 서초구,투썸플레이스 예술의전당점,시간협의,"월급 2,150,000원",3시간전
64,서울 서초구,투썸 예술의전당점,시간협의,"월급 2,300,000원",3시간전
65,서울 서초구,투썸 예술의전당점,17:00~23:00,"시급 9,160원",3시간전
66,서울 마포구,투썸플레이스(주),시간협의,"시급 9,300원",3시간전
67,서울 광진구,투썸플레이스 건대스타시티점,16:00~22:30,"시급 9,160원",3시간전
68,경북 포항시,투썸플레이스포항두호점,09:00~23:00,"시급 9,160원",3시간전
69,서울 동작구,투썸플레이스 반포효성점,13:00~18:00,"시급 9,160원",3시간전
70,서울 강서구,투썸플레이스 개화산역점,시간협의,"시급 9,160원",3시간전
71,경기 용인시,유로루브,시간협의,"시급 9,160원",3시간전
72,경기 이천시,투썸플레이스 이천하이닉스점,시간협의,"시급 9,300원",3시간전
73,경기 남양주,투썸플레이스 남양주화도,11:00~20:00,"월급 2,250,000원",3시간전
74,서울 강서구,투썸플레이스 개화산역점,시간협의,"시급 9,160원",3시간전
75,강원 양양군,투썸플레이스 양양점,08:30~17:30,"시급 9,160원",3시간전
76,서울 서대문,투썸플레이스(주),08:00~14:30,"시급 11,160원",3시간전
77,서울 전체,투썸플레이스 금천롯데캐슬골드파크점,15:30~22:30,"월급 1,950,000원",3시간전
78,서울 용산구,투썸플레이스용산아이파크몰점,시간협의,"월급 2,100,000원",3시간전
79,경기 수원시,투썸플레이스 수원 천천점,시간협의,"월급 2,000,000원",3시간전
80,서울 강서구,투썸강서송정역점,시간협의,"월급 2,000,000원",3시간전
