14:20:54
2022-01-18
57건
index,place,title,time,pay,date
1,서울 영등포,박승철헤어스투디오 당산역2호점,10:30~21:00,"월급 1,822,480원",3시간전
2,서울 영등포,박승철헤어스투디오 당산역점,10:30~20:00,"월급 1,914,440원",3시간전
3,서울 동작구,박승철헤어스투디오 상도점,10:30~20:30,"월급 1,990,000원",7시간전
4,서울 영등포,박승철헤어스투디오 당산역점,10:30~20:00,"월급 1,914,440원",01/17
5,울산 중구,박승철헤어스투디오 울산성남점,10:30~20:30,"월급 1,820,000원",01/15
6,서울 영등포,박승철헤어스투디오 당산역2호점,10:30~21:00,"월급 1,822,480원",01/15
7,경기 안산시,박승철헤어스투디오 안산고잔점,10:00~07:00,"시급 9,160원",01/15
8,경기 안산시,박승철헤어스투디오 안산고잔점,10:00~07:00,"시급 9,160원",01/15
9,경기 안산시,박승철헤어스투디오 안산고잔점,10:00~07:00,"시급 9,160원",01/15
10,경기 안산시,박승철헤어스투디오 안산고잔점,10:00~07:00,"시급 9,160원",01/15
11,경기 안산시,박승철헤어스투디오 안산고잔점,10:00~07:00,"시급 9,160원",01/15
12,울산 중구,박승철헤어스투디오 울산성남점,10:30~20:30,"월급 1,820,000원",01/13
13,서울 영등포,박승철헤어스투디오 당산역2호점,10:30~21:00,"월급 1,822,480원",01/11
14,서울 동작구,박승철헤어스투디오 이수역점,시간협의,"월급 1,830,000원",01/10
15,서울 동작구,박승철헤어스투디오 이수역점,시간협의,"월급 1,830,000원",01/10
16,서울 동작구,박승철헤어스투디오 이수역점,시간협의,"월급 1,830,000원",01/10
17,울산 남구,박승철헤어스투디오 울산삼산점,10:30~20:00,"월급 1,830,000원",01/10
18,울산 중구,박승철헤어스투디오 울산성남점,10:30~20:30,"월급 1,820,000원",01/08
19,울산 중구,박승철헤어스투디오 울산성남점,10:30~20:30,"월급 1,820,000원",01/06
20,경기 용인시,박승철헤어스투디오 보정동카페거리점,10:00~19:30,"월급 1,822,480원",01/03
21,경기 용인시,박승철헤어스투디오 보정동카페거리점,10:00~19:30,"월급 1,822,480원",01/03
22,경기 용인시,박승철헤어스투디오 보정동카페거리점,10:00~19:30,"월급 1,822,480원",01/03
23,서울 동작구,박승철헤어스투디오 상도점,10:30~20:30,"월급 1,950,000원",01/03
24,서울 동작구,박승철헤어스투디오 상도점,10:30~20:30,"월급 1,950,000원",01/03
25,서울 동작구,박승철헤어스투디오 상도점,10:30~20:30,"월급 1,950,000원",01/03
26,서울 은평구,박승철헤어스투디오 연신내점,시간협의,"월급 1,822,480원",01/03
27,서울 은평구,박승철헤어스투디오 연신내점,시간협의,"월급 1,822,480원",01/03
28,서울 은평구,박승철헤어스투디오 연신내점,시간협의,"월급 1,822,480원",01/03
29,서울 은평구,박승철헤어스투디오 연신내점,시간협의,"월급 1,822,480원",01/03
30,서울 은평구,박승철헤어스투디오 연신내점,시간협의,"월급 1,822,480원",01/03
31,서울 영등포,박승철헤어스투디오 타임스퀘어점,11:00~08:00,"건별 100,000원",01/03
32,서울 영등포,박승철헤어스투디오 타임스퀘어점,11:00~08:00,"건별 100,000원",01/03
33,서울 영등포,박승철헤어스투디오 타임스퀘어점,11:00~08:00,"건별 100,000원",01/03
34,서울 영등포,박승철헤어스투디오 타임스퀘어점,11:00~08:00,"건별 100,000원",01/03
35,경기 성남시,박승철헤어스투디오 분당정자점,10:00~20:00,"월급 2,000,000원",01/03
36,경기 성남시,박승철헤어스투디오 분당정자점,10:00~20:00,"월급 2,000,000원",01/03
37,경기 성남시,박승철헤어스투디오 분당정자점,10:00~20:00,"월급 2,000,000원",01/03
38,경기 성남시,박승철헤어스투디오 분당정자점,10:00~20:00,"월급 2,000,000원",01/03
39,서울 동작구,박승철헤어스투디오 이수역점,시간협의,"월급 1,830,000원",01/03
40,대구 동구,박승철헤어스투디오 대구반야월이마트점,10:30~20:30,"월급 2,000,000원",01/03
41,대구 동구,박승철헤어스투디오 대구반야월이마트점,10:30~20:30,"월급 2,000,000원",01/03
42,대구 동구,박승철헤어스투디오 대구반야월이마트점,10:30~20:30,"월급 2,000,000원",01/03
43,대구 동구,박승철헤어스투디오 대구반야월이마트점,10:30~20:30,"월급 2,000,000원",01/03
44,서울 광진구,박승철헤어스투디오 광나루역점,10:00~20:00,"월급 1,900,000원",01/03
45,서울 광진구,박승철헤어스투디오 광나루역점,10:00~20:00,"월급 1,900,000원",01/03
46,서울 광진구,박승철헤어스투디오 광나루역점,10:00~20:00,"월급 1,900,000원",01/03
47,인천 중구,박승철헤어스투디오 동인천이마트점,10:00~20:00,"월급 2,000,000원",01/03
48,인천 중구,박승철헤어스투디오 동인천이마트점,10:00~20:00,"월급 2,000,000원",01/03
49,인천 중구,박승철헤어스투디오 동인천이마트점,10:00~20:00,"월급 2,000,000원",01/03
50,서울 강남구,박승철헤어스투디오 개포동역점,10:00~20:00,"월급 2,500,000원",01/03
51,서울 강남구,박승철헤어스투디오 개포동역점,10:00~20:00,"월급 2,500,000원",01/03
52,서울 강남구,박승철헤어스투디오 개포동역점,10:00~20:00,"월급 2,500,000원",01/03
53,울산 남구,박승철헤어스투디오 울산삼산점,10:30~20:00,"월급 1,830,000원",01/03
54,울산 남구,박승철헤어스투디오 울산삼산점,10:30~20:00,"월급 1,830,000원",01/03
55,울산 남구,박승철헤어스투디오 울산삼산점,10:30~20:00,"시급 9,160원",01/03
56,서울 영등포,박승철헤어스투디오 당산역2호점,10:30~21:00,"월급 1,822,480원",01/03
57,울산 남구,박승철헤어스투디오 울산삼산점,10:30~20:00,"월급 1,830,000원",01/02
