14:08:30
2022-01-18
79건
index,place,title,time,pay,date
1,부산 해운대,하나로플랫폼 안락지사,11:00~02:00,"일급 250,000원",2시간전
2,부산 금정구,하나로플랫폼 금정지사,11:00~02:00,"일급 250,000원",2시간전
3,부산 연제구,하나로플랫폼 연제지사,11:00~02:00,"일급 250,000원",2시간전
4,부산 동래구,하나로플랫폼 동래지사,11:00~02:00,"일급 250,000원",2시간전
5,부산 해운대,하나로플랫폼 안락지사,11:00~02:00,"일급 250,000원",4시간전
6,부산 금정구,하나로플랫폼 금정지사,11:00~02:00,"일급 250,000원",4시간전
7,부산 연제구,하나로플랫폼 연제지사,11:00~02:00,"일급 250,000원",4시간전
8,부산 동래구,하나로플랫폼 동래지사,11:00~02:00,"일급 250,000원",4시간전
9,부산 해운대,하나로플랫폼 안락지사,11:00~02:00,"일급 250,000원",5시간전
10,부산 금정구,하나로플랫폼 금정지사,11:00~02:00,"일급 250,000원",5시간전
11,부산 연제구,하나로플랫폼 연제지사,11:00~02:00,"일급 250,000원",5시간전
12,부산 동래구,하나로플랫폼 동래지사,11:00~02:00,"일급 250,000원",5시간전
13,경북 구미시,하나로플랫폼 구미센터,시간협의,"일급 200,000원",5시간전
14,경북 구미시,하나로플랫폼 구미센터,시간협의,"일급 200,000원",5시간전
15,경북 구미시,하나로플랫폼 구미센터,시간협의,"일급 200,000원",5시간전
16,대구 남구,하나로플랫폼 범어지사,10:00~02:00,"일급 300,000원",6시간전
17,대구 동구,하나로플랫폼 범어지사,10:00~02:00,"일급 300,000원",6시간전
18,대구 수성구,하나로플랫폼 범어지사,10:00~02:00,"일급 300,000원",6시간전
19,대구 중구,하나로플랫폼 범어지사,11:00~02:00,"일급 300,000원",6시간전
20,대구 달서구,하나로플랫폼 범어지사,11:00~02:00,"월급 6,000,000원",6시간전
21,대구 수성구,하나로플랫폼 범어지사,시간협의,"일급 300,000원",6시간전
22,대구 수성구,하나로플랫폼 수성지사,시간협의,"일급 200,000원",7시간전
23,대구 수성구,하나로플랫폼 수성지사,시간협의,"일급 200,000원",7시간전
24,대구 수성구,하나로플랫폼 수성지사,시간협의,"일급 200,000원",7시간전
25,대구 수성구,하나로플랫폼 수성지사,시간협의,"일급 200,000원",8시간전
26,대구 수성구,하나로플랫폼 수성지사,시간협의,"일급 200,000원",8시간전
27,대구 수성구,하나로플랫폼 수성지사,시간협의,"일급 200,000원",8시간전
28,대구 수성구,하나로플랫폼 수성지사,시간협의,"일급 200,000원",8시간전
29,대구 수성구,하나로플랫폼 수성지사,시간협의,"일급 200,000원",8시간전
30,대구 수성구,하나로플랫폼 수성지사,시간협의,"일급 200,000원",8시간전
31,경북 경산시,하나로플랫폼 옥산지사,시간협의,"일급 200,000원",20시간전
32,경북 경산시,하나로플랫폼 옥산지사,시간협의,"일급 200,000원",20시간전
33,경북 경산시,하나로플랫폼 옥산지사,시간협의,"일급 200,000원",20시간전
