14:03:26
2022-01-18
33건
index,place,title,time,pay,date
1,전남 여수시,한경기획 청년다방 여수학동점,10:30~14:30,"시급 9,160원",21분전
2,부산 해운대,한경기획 청년다방 장산점,11:00~19:00,"시급 9,500원",1시간전
3,부산 해운대,한경기획 해운대점,18:00~24:00,"시급 9,160원",1시간전
4,충남 아산시,한경기획 청년다방 아산터미널점,시간협의,"시급 9,200원",1시간전
5,전북 군산시,한경기획 군산미장점,11:00~22:00,"월급 2,600,000원",1시간전
6,부산 해운대,한경기획 해운대점,19:00~01:00,"시급 9,500원",1시간전
7,부산 해운대,한경기획 해운대점,시간협의,"시급 9,160원",2시간전
8,부산 해운대,한경기획 청년다방 장산점,17:00~23:00,"시급 9,160원",2시간전
9,부산 해운대,한경기획 청년다방 장산점,17:00~23:00,"시급 9,160원",2시간전
10,충남 아산시,한경기획 은화수식당 아산점,17:00~21:00,"시급 9,160원",2시간전
11,경기 화성시,화성남양점,11:00~20:30,"시급 9,160원",3시간전
12,전남 여수시,한경기획 청년다방 여수학동점,10:30~14:30,"시급 9,160원",4시간전
13,충남 천안시,한경기획 청년다방 천안두정역점,17:00~21:30,"시급 9,160원",4시간전
14,경기 용인시,한경기획 청년다방 용인보정점,시간협의,"시급 9,160원",4시간전
15,경기 안산시,한경기획 청년다방 안산고잔점,17:30~21:00,"시급 9,160원",4시간전
16,충남 천안시,한경기획 은화수식당 천안신불당점,16:30~21:30,"월급 1,430,000원",5시간전
17,충남 아산시,한경기획 은화수식당 아산점,17:00~21:00,"시급 9,160원",5시간전
18,경기 수원시,한경기획 청년다방 수원호매실점,15:00~21:00,"시급 9,200원",6시간전
19,전북 군산시,한경기획 군산미장점,12:30~21:30,"시급 9,160원",6시간전
20,전북 군산시,한경기획 군산미장점,10:00~22:00,"시급 9,160원",7시간전
21,광주 광산구,한경기획 청년다방 호남대점,10:00~14:30,"시급 9,160원",01/17
22,충남 천안시,한경기획 은화수식당 천안신불당점,16:30~21:30,"월급 1,430,000원",01/16
23,충남 천안시,천안성성점,15:00~24:00,"월급 2,015,200원",01/16
24,충북 청주시,한경기획 청년다방 청주지웰시티점,10:30~16:30,"시급 10,000원",01/15
25,충남 천안시,한경기획 은화수식당 천안신불당점,16:30~21:30,"월급 1,430,000원",01/14
26,경기 시흥시,한경기획 청년다방 시흥능곡역점,17:30~21:30,"시급 9,160원",01/13
27,부산 해운대,한경기획 청년다방 장산점,시간협의,"시급 9,200원",01/12
28,충북 청주시,한경기획 청년다방 청주지웰시티점,10:30~16:30,"시급 10,000원",01/11
29,서울 서대문,한경기획 청년다방 가재울점,17:30~22:30,"시급 9,500원",01/11
30,경기 시흥시,한경기획 청년다방 시흥능곡역점,17:30~21:30,"시급 9,160원",01/11
31,충북 청주시,한경기획 청년다방 청주지웰시티점,10:30~16:30,"시급 10,000원",01/08
32,충남 천안시,천안성성점,15:00~24:00,"월급 2,000,000원",01/04
33,충남 논산시,한경기획 청년다방 논산오거리점,17:30~22:00,"시급 9,160원",01/02
