place,title,time,pay,date
세종 전체,할리스커피 세종가람DT점,시간협의,"월급 2,000,000원",9분전
서울 강서구,할리스커피 마곡나인스퀘어점,08:00~17:00,"월급 2,100,000원",9분전
서울 광진구,할리스커피 광장점,18:00~21:30,"시급 9,160원",16분전
서울 노원구,할리스커피 당고개역점,12:30~15:30,"시급 9,160원",18분전
서울 노원구,할리스커피 당고개역점,12:30~15:30,"시급 9,160원",26분전
서울 노원구,할리스커피 당고개역점,12:30~15:30,"시급 9,160원",34분전
경기 수원시,할리스커피 수원권선행복점,18:30~21:30,"시급 9,160원",44분전
서울 노원구,할리스커피 당고개역점,12:30~15:30,"시급 9,160원",44분전
서울 강남구,할리스커피 청담삼성로점,13:00~22:00,"월급 2,100,000원",50분전
부산 전체,할리스커피 부산서구청점,시간협의,"시급 9,160원",57분전
서울 마포구,할리스커피 홍대역점,시간협의,"월급 1,900,000원",1시간전
인천 부평구,할리스커피 부평로데오점,18:00~21:30,"시급 9,160원",1시간전
인천 부평구,할리스커피 부평로데오점,18:00~21:30,"시급 9,160원",1시간전
세종 전체,할리스커피 세종가람DT점,시간협의,"월급 2,000,000원",2시간전
부산 수영구,할리스커피 부산광안리점,15:00~24:00,"월급 2,050,000원",2시간전
서울 구로구,할리스커피 구로디지털점,08:00~14:00,"시급 9,160원",2시간전
경기 구리시,할리스커피 구리수택점,18:30~21:30,"시급 9,160원",2시간전
경기 하남시,할리스커피 하남덕풍점,12:30~15:30,"시급 9,160원",2시간전
광주 북구,할리스커피 광주문흥점,12:00~14:00,"시급 9,160원",3시간전
서울 구로구,할리스커피 오류동역점,11:00~17:00,"시급 9,160원",3시간전
서울 전체,할리스커피 광나루역점,19:00~21:30,"시급 9,160원",3시간전
울산 남구,할리스커피 울산디자인거리점,12:00~18:00,"시급 9,160원",3시간전
서울 관악구,할리스커피 신림사거리점,17:00~24:00,"시급 9,160원",3시간전
충북 청주시,할리스커피 청주명암레이크점,시간협의,"월급 2,000,000원",4시간전
경기 화성시,할리스커피 화성융건릉점,08:30~12:00,"시급 9,160원",4시간전
충북 청주시,할리스커피 청주명암레이크점,시간협의,"월급 2,000,000원",4시간전
서울 마포구,할리스커피 홍대역2번출구점,20:00~24:00,"시급 9,160원",4시간전
서울 마포구,할리스커피 홍대역2번출구점,20:00~24:00,"시급 9,160원",4시간전
광주 북구,할리스커피 광주북구청점,18:00~23:00,"시급 9,160원",4시간전
