14:13:49
2022-01-18
20건
index,place,title,time,pay,date
1,인천 남동구,호치킨 관교점,18:00~22:00,"시급 9,160원",2시간전
2,인천 남동구,호치킨 관교점,18:00~22:00,"시급 9,160원",2시간전
3,인천 남동구,호치킨 관교점,18:00~22:00,"시급 9,160원",2시간전
4,인천 남동구,호치킨 관교점,18:00~22:00,"시급 9,160원",2시간전
5,서울 강서구,호치킨 강서하이웨이점,18:30~23:30,"시급 9,500원",3시간전
6,경기 광주시,호치킨 광주장지e편한세상점,18:00~00:00,"시급 10,000원",5시간전
7,경기 광주시,호치킨 광주장지e편한세상점,18:00~00:00,"시급 10,000원",5시간전
8,경기 광주시,호치킨 광주장지e편한세상점,18:00~00:00,"시급 10,000원",5시간전
9,경기 광주시,호치킨 광주장지e편한세상점,18:00~00:00,"시급 10,000원",5시간전
10,경기 광주시,호치킨 광주장지e편한세상점,18:00~00:00,"시급 10,000원",5시간전
11,경기 의정부,호치킨 회룡역점,18:30~21:30,"시급 9,160원",5시간전
12,서울 강서구,호치킨 강서하이웨이점,18:30~23:30,"시급 9,500원",5시간전
13,서울 강서구,호치킨 강서하이웨이점,18:30~23:30,"시급 9,500원",7시간전
14,경기 의정부,호치킨 회룡역점,시간협의,"시급 9,160원",7시간전
15,경기 수원시,호치킨 수원영통점,18:00~22:00,"시급 9,300원",01/11
16,서울 마포구,호치킨 상암9단지점,18:00~23:00,"시급 9,160원",01/10
17,서울 마포구,호치킨 상암9단지점,18:00~23:00,"시급 9,160원",01/09
18,경기 수원시,호치킨 수원영통점,18:00~22:00,"시급 9,300원",01/09
19,서울 마포구,호치킨 상암9단지점,17:30~23:30,"시급 9,160원",01/07
20,경기 수원시,호치킨 수원영통점,18:00~22:00,"시급 9,300원",01/02
