14:07:13
2022-01-18
73건
index,place,title,time,pay,date
1,서울 성동구,홈플러스 익스프레스 서울뚝섬2점,시간협의,"월급 1,400,000원",1분전
2,대전 중구,홈플러스 익스프레스 유천점,18:00~24:00,"월급 1,438,120원",4분전
3,인천 남동구,홈플러스 익스프레스 인천논현2점,12:00~18:00,"시급 9,160원",9분전
4,서울 송파구,홈플러스 익스프레스 개롱점,12:00~18:00,"시급 9,160원",19분전
5,서울 송파구,홈플러스 익스프레스 개롱점,12:00~18:00,"시급 9,160원",21분전
6,경기 용인시,홈플러스 익스프레스 상갈점,09:00~15:00,"시급 9,160원",29분전
7,경기 시흥시,홈플러스 익스프레스 시흥정왕2점,12:00~18:00,"시급 9,160원",3시간전
8,서울 노원구,홈플러스 익스프레스 중계점,12:00~18:00,"월급 1,428,960원",3시간전
9,서울 종로구,홈플러스 익스프레스 명륜점,17:00~23:00,"시급 9,160원",3시간전
10,경기 수원시,홈플러스 익스프레스 수원권선점,14:00~20:00,"시급 9,160원",5시간전
11,경기 평택시,홈플러스 익스프레스 평택청북점,17:00~24:00,"시급 9,160원",6시간전
12,서울 강남구,홈플러스 익스프레스 도곡2점,08:00~15:00,"시급 9,160원",6시간전
13,서울 강남구,홈플러스 익스프레스 대치점,08:00~15:00,"시급 9,160원",6시간전
14,서울 강남구,홈플러스 익스프레스 대치점,08:00~15:00,"시급 9,160원",6시간전
15,서울 강남구,홈플러스 익스프레스 대치점,시간협의,"시급 9,160원",6시간전
16,서울 강남구,홈플러스 익스프레스 대치점,시간협의,"시급 9,160원",6시간전
17,서울 강남구,홈플러스 익스프레스 대치점,08:00~15:00,"시급 9,160원",6시간전
18,서울 성동구,홈플러스 익스프레스 서울뚝섬2점,시간협의,"월급 1,300,000원",7시간전
19,서울 은평구,홈플러스 익스프레스 구산점,11:00~17:00,"시급 9,160원",7시간전
20,서울 송파구,홈플러스 익스프레스 잠실점,14:00~20:00,"시급 9,160원",7시간전
21,경기 파주시,홈플러스 익스프레스 파주와동점,15:00~21:00,"시급 9,160원",7시간전
22,서울 송파구,홈플러스 익스프레스 개롱점,12:00~18:00,"시급 9,160원",7시간전
23,경기 성남시,홈플러스 익스프레스 분당동판교점,08:00~14:00,"시급 9,160원",7시간전
24,경기 성남시,홈플러스 익스프레스 분당동판교점,시간협의,"시급 9,160원",8시간전
25,경기 성남시,홈플러스 익스프레스 분당동판교점,시간협의,"시급 9,160원",8시간전
26,서울 성동구,홈플러스 익스프레스 서울뚝섬2점,시간협의,"월급 1,400,000원",8시간전
27,경기 용인시,홈플러스 익스프레스 용인죽전점,17:00~23:00,"시급 9,160원",15시간전
28,경기 용인시,홈플러스 익스프레스 용인죽전점,07:00~13:00,"시급 9,160원",15시간전
29,경기 남양주,홈플러스 익스프레스 남양주별내2점,15:00~21:00,"시급 9,160원",18시간전
30,서울 구로구,홈플러스 익스프레스 개봉점,08:00~14:00,"시급 9,160원",21시간전
31,서울 중구,홈플러스 익스프레스 신당점,13:00~19:00,"시급 9,160원",21시간전
32,경기 안양시,홈플러스 익스프레스 안양점,시간협의,"시급 9,160원",23시간전
33,경기 성남시,홈플러스 익스프레스 분당정자점,08:00~14:00,"시급 9,160원",01/17
34,경기 평택시,홈플러스 익스프레스 평택청북점,17:00~24:00,"시급 9,160원",01/16
35,서울 광진구,홈플러스 익스프레스 중곡점,18:00~24:00,"시급 9,160원",01/16
36,경기 성남시,홈플러스 익스프레스 분당서판교점,18:00~24:00,"시급 9,160원",01/16
37,경기 성남시,홈플러스 익스프레스 분당서판교점,08:00~14:00,"시급 9,160원",01/16
38,경기 김포시,홈플러스 익스프레스 김포고촌점,17:00~24:00,"시급 9,160원",01/15
39,인천 남동구,홈플러스 익스프레스 주안점,13:00~19:00,"시급 9,160원",01/15
40,인천 미추홀,홈플러스 익스프레스 주안점,13:00~19:00,"시급 9,160원",01/14
41,서울 성동구,홈플러스 익스프레스 금호2점,09:00~15:00,"시급 9,160원",01/14
42,경기 평택시,홈플러스 익스프레스 평택서정점,시간협의,"시급 9,160원",01/14
43,경기 평택시,홈플러스 익스프레스 평택서정점,15:00~21:00,"시급 9,160원",01/14
44,경기 광명시,홈플러스 익스프레스 광명하안2점,07:00~13:00,"시급 9,160원",01/14
45,인천 연수구,홈플러스 익스프레스 인천송도점,08:00~12:30,"시급 9,160원",01/14
46,경기 고양시,홈플러스 익스프레스 마두점,12:00~18:00,"월급 1,200,000원",01/13
47,경기 파주시,홈플러스 익스프레스 금촌점,13:00~19:00,"월급 1,348,630원",01/13
48,서울 전체,홈플러스 익스프레스 목동2점,18:00~24:00,"월급 1,369,040원",01/13
49,서울 강남구,홈플러스 익스프레스 도곡2점,08:00~15:00,"시급 9,160원",01/12
50,경기 시흥시,홈플러스 익스프레스 대야점,18:00~24:00,"시급 9,160원",01/12
51,경기 파주시,홈플러스 익스프레스 금촌점,13:00~19:00,"월급 1,348,630원",01/11
52,경기 용인시,홈플러스 익스프레스 용인보정2점,08:00~14:00,"월급 1,432,886원",01/11
53,서울 영등포,홈플러스 익스프레스 도림점,17:00~24:00,"시급 9,160원",01/10
54,서울 양천구,홈플러스 익스프레스 목동점,18:00~22:30,"시급 9,160원",01/10
55,경기 김포시,홈플러스 익스프레스 김포고촌점,17:00~24:00,"시급 9,160원",01/10
56,서울 종로구,홈플러스 익스프레스 명륜점,17:00~23:00,"시급 9,160원",01/09
57,서울 송파구,홈플러스 익스프레스 잠실점,14:00~20:00,"시급 9,160원",01/08
58,서울 송파구,홈플러스 익스프레스 잠실점,14:00~20:00,"시급 9,160원",01/08
59,경기 성남시,홈플러스 익스프레스 수진점,18:00~24:00,"시급 9,160원",01/08
60,경기 용인시,홈플러스 익스프레스 용인보정2점,08:00~14:00,"월급 1,432,886원",01/08
61,서울 양천구,홈플러스 익스프레스 신정2점,18:00~24:00,"시급 9,160원",01/06
62,서울 전체,홈플러스 익스프레스 목동2점,18:00~24:00,"월급 1,369,040원",01/05
63,서울 종로구,홈플러스 익스프레스 명륜점,17:00~23:00,"시급 9,160원",01/03
64,대전 유성구,홈플러스 익스프레스 반석점,13:00~19:00,"시급 9,160원",01/03
65,경기 광명시,홈플러스 익스프레스 광명점,17:00~23:00,"시급 9,160원",01/02
66,서울 성동구,홈플러스 익스프레스 옥수점,16:00~22:00,"시급 9,160원",01/02
67,서울 전체,홈플러스 익스프레스 목동2점,18:00~24:00,"월급 1,369,040원",01/02
68,경기 성남시,홈플러스 익스프레스 성남복정점,08:00~14:00,"시급 9,160원",01/02
69,경기 부천시,홈플러스 익스프레스 도당점,18:00~24:00,"시급 9,160원",01/02
70,경기 성남시,홈플러스 익스프레스 분당판교점,시간협의,"시급 9,160원",01/02
71,경기 성남시,홈플러스 익스프레스 분당판교점,시간협의,"시급 9,160원",01/02
72,경기 성남시,홈플러스 익스프레스 분당판교점,10:00~16:00,"시급 9,160원",01/02
73,경기 성남시,홈플러스 익스프레스 분당판교점,10:00~16:00,"시급 9,160원",01/02
