place,title,time,pay,date
경기 용인시,홍선생미술 경기-용인기흥지사,시간협의,"시급 18,750원",7시간전
강원 원주시,홍선생미술 강원-원주지사,시간협의,"시급 18,750원",7시간전
강원 춘천시,홍선생미술 강원-춘천지사,시간협의,"시급 18,750원",7시간전
경기 부천시,홍선생미술 경기-부천원미지사,시간협의,"시급 18,750원",7시간전
부산 북구,홍선생미술 부산-부산 북구지사,시간협의,"시급 18,750원",7시간전
대전 중구,홍선생미술 대전-서구유성지사,시간협의,"시급 18,750원",7시간전
서울 서대문,홍선생미술 서울-서대문지사,시간협의,"시급 18,750원",7시간전
대전 중구,홍선생미술 대전-대전 중구동구지사,시간협의,"시급 18,750원",7시간전
경북 포항시,홍선생미술 경북-포항 북구지사,시간협의,"시급 18,750원",7시간전
경북 포항시,홍선생미술 경북-포항 남구지사,시간협의,"시급 18,750원",7시간전
서울 은평구,홍선생미술 서울-은평지사,시간협의,"시급 18,750원",7시간전
부산 금정구,홍선생미술 부산-금정지사,시간협의,"시급 18,750원",7시간전
부산 사하구,홍선생미술 부산-사하서구지사,시간협의,"시급 18,750원",7시간전
서울 종로구,홍선생미술 서울-종로지사,시간협의,"시급 18,750원",7시간전
대구 북구,홍선생미술 대구-대구 북구지사,시간협의,"시급 18,750원",7시간전
경북 구미시,홍선생미술 경북-구미지사,시간협의,"시급 18,750원",7시간전
대구 달서구,홍선생미술 대구-달서지사,시간협의,"시급 18,750원",7시간전
서울 성북구,홍선생미술 서울-성북지사,시간협의,"시급 18,750원",7시간전
경기 광명시,홍선생미술 경기-광명지사,시간협의,"시급 18,750원",7시간전
경기 김포시,홍선생미술 경기-김포지사,시간협의,"시급 18,750원",7시간전
경기 고양시,홍선생미술 경기-덕양지사,시간협의,"시급 18,750원",7시간전
경기 고양시,홍선생미술 경기-일산 서구지사,시간협의,"시급 18,750원",7시간전
경기 용인시,홍선생미술 경기-분당 정자지사,시간협의,"시급 18,750원",7시간전
경기 군포시,홍선생미술 경기-군포산본지사,시간협의,"시급 18,750원",7시간전
서울 마포구,홍선생미술 서울-마포지사,시간협의,"시급 18,750원",7시간전
서울 성동구,홍선생미술 서울-성동중구지사,시간협의,"시급 18,750원",7시간전
서울 양천구,홍선생미술 서울-양천지사,시간협의,"시급 18,750원",7시간전
경기 평택시,홍선생미술 경기-평택지사,시간협의,"시급 18,750원",7시간전
서울 동작구,홍선생미술 서울-동작지사,시간협의,"시급 18,750원",7시간전
서울 금천구,홍선생미술 서울-관악지사,시간협의,"시급 18,750원",7시간전
광주 광산구,홍선생미술 광주-광산구지사,시간협의,"시급 18,750원",8시간전
