place,title,time,pay,date
경기 남양주,화로상회 진접장현점,11:30~23:30,"시급 10,000원",6분전
경기 광주시,화로상회 광주경안점,시간협의,"시급 9,160원",52분전
경기 고양시,화로상회 고양동점,18:00~24:00,"시급 10,500원",5시간전
충남 태안군,화로상회 태안점,시간협의,"시급 10,000원",9시간전
경기 포천시,화로상회 포천송우리점,00:00~24:00,"시급 9,160원",01/14
경기 포천시,화로상회 포천송우리점,00:00~24:00,"시급 9,160원",01/14
경기 포천시,화로상회 포천송우리점,00:00~24:00,"시급 9,160원",01/14
경기 포천시,화로상회 포천송우리점,00:00~24:00,"시급 9,160원",01/14
충남 태안군,화로상회 태안점,시간협의,"시급 10,000원",01/14
충남 태안군,화로상회 태안점,시간협의,"시급 10,000원",01/14
서울 강동구,화로상회 강일점,13:30~15:30,"시급 10,000원",01/14
서울 강동구,화로상회 강일점,13:30~15:30,"시급 10,000원",01/14
서울 강동구,화로상회 강일점,13:30~15:30,"시급 10,000원",01/14
서울 강동구,화로상회 강일점,13:30~15:30,"시급 10,000원",01/14
경기 남양주,화로상회 다산1호점,11:30~15:30,"시급 10,000원",01/14
경기 남양주,화로상회 다산1호점,11:30~15:30,"시급 10,000원",01/14
경기 남양주,화로상회 다산1호점,11:30~15:30,"시급 10,000원",01/14
경기 남양주,화로상회 다산1호점,11:30~15:30,"시급 10,000원",01/14
경기 남양주,화로상회 별내1호점,15:30~23:30,"월급 2,400,000원",01/14
경기 남양주,화로상회 별내1호점,15:30~23:30,"시급 11,000원",01/14
경기 고양시,화로상회 고양동점,18:00~24:00,"시급 10,000원",01/14
경기 남양주,화로상회 진접장현점,18:00~23:00,"시급 10,000원",01/14
경기 남양주,화로상회 진접장현점,18:00~23:00,"시급 10,000원",01/14
경기 남양주,화로상회 진접장현점,18:00~23:00,"시급 10,000원",01/14
경기 남양주,화로상회 진접장현점,18:00~23:00,"시급 10,000원",01/13
서울 송파구,화로상회 가락시장역점,07:00~14:00,"시급 9,500원",01/08
서울 송파구,화로상회 가락시장역점,07:00~14:00,"시급 9,500원",01/08
서울 송파구,화로상회 가락시장역점,07:00~14:00,"시급 9,500원",01/08
서울 송파구,화로상회 가락시장역점,07:00~14:00,"시급 9,500원",01/08
강원 강릉시,화로상회 강릉입암점,시간협의,"시급 9,500원",01/03
강원 강릉시,화로상회 강릉입암점,시간협의,"시급 9,500원",01/03
강원 강릉시,화로상회 강릉입암점,시간협의,"시급 9,500원",01/03
강원 강릉시,화로상회 강릉입암점,시간협의,"시급 9,500원",01/03
서울 동대문,화로상회 답십리점,17:00~22:00,"시급 9,160원",01/03
서울 동대문,화로상회 답십리점,17:00~22:00,"시급 9,160원",01/03
서울 동대문,화로상회 답십리점,17:00~22:00,"시급 9,160원",01/03
서울 동대문,화로상회 답십리점,17:00~22:00,"시급 9,160원",01/03
충남 태안군,화로상회 태안점,시간협의,"시급 10,000원",01/01
충남 태안군,화로상회 태안점,시간협의,"시급 10,000원",01/01
